Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,Referendum,,Con lead,,
,Sep,16-20,23,MORI,TT,29.0,1.0,43.0,1.0,25.0,0.0,,,-14.0,0.0,
,Sep,16-21,26,Gallup,DT,23.5,-2.0,44.0,-2.5,26.5,3.5,,,-20.5,0.5,
,Sep,,26,ICM,SE,27.0,,41.0,,26.0,,,,-14.0,,Phone
,Sep,22-27,4,Gallup,DT,23.0,-0.5,44.5,0.5,27.0,0.5,,,-21.5,-1.0,
,Sep,,,G9000,,24.3,0.6,45.0,2.1,24.7,-3.6,,,-20.7,-1.5,
,Oct,8-9,10,ICM,SE,30.0,3.0,40.0,-1.0,26.0,0.0,,,-10.0,4.0,Phone
,Oct,,13,ICM,GU,31.0,1.0,46.0,6.0,19.0,-7.0,,,-15.0,-5.0,
,Oct,,24,MORI,ST,29.0,0.0,43.0,0.0,25.0,0.0,,,-14.0,0.0,
,Oct,21-25,29,MORI,TT,29.0,0.0,45.0,2.0,23.0,-2.0,,,-16.0,-2.0,
,Oct,27-1,5,Gallup,DT,24.0,1.0,46.5,2.0,25.5,-1.5,,,-22.5,-1.0,
,Oct,,,G9000,,26.2,1.9,45.6,0.6,22.6,-2.1,,,-19.4,-1.3,
,Nov,5-6,11,ICM,GU,29.0,-2.0,45.0,-1.0,23.0,4.0,,,-16.0,-1.0,
,Nov,12-13,,NOP,,27.0,,47.0,,21.0,,,,-20.0,,
,Nov,18-22,26,MORI,TT,29.0,0.0,47.0,2.0,22.0,-1.0,,,-18.0,-2.0,
,Nov,,,G9000,,25.4,-0.8,46.2,0.6,22.4,-0.2,,,-20.8,-1.4,
,Dec,1-6,10,Gallup,DT,27.0,3.0,48.5,2.0,20.0,-5.5,,,-21.5,1.0,
,Dec,3-4,8,ICM,GU,26.0,-3.0,47.0,2.0,23.0,0.0,,,-21.0,-5.0,
,Dec,9-13,17,MORI,TT,29.0,0.0,47.0,0.0,20.0,-2.0,,,-18.0,0.0,
,Dec,13-14,19,ICM,OB,26.0,0.0,48.0,1.0,23.0,0.0,,,-22.0,-1.0,
,Dec,,,G9000,,26.8,1.4,46.4,0.2,21.3,-1.1,,,-19.6,1.2,
1994,Jan,6-11,14,Gallup,DT,25.5,-1.5,46.5,-2.0,20.5,0.5,,,-21.0,0.5,
,Jan,7-8,12,ICM,GU,26.0,0.0,50.0,2.0,20.0,-3.0,,,-24.0,-2.0,
,Jan,10-11,,MORI,Sun,30.0,,46.0,,20.0,,,,-16.0,,Phone
,Jan,20-24,28,MORI,TT,28.0,-1.0,48.0,1.0,20.0,0.0,,,-20.0,2.0,
,Jan,26-1,4,Gallup,DT,26.0,0.5,45.5,-1.0,23.0,2.5,,,-19.5,1.5,
,Jan,27,30,ASL,SM,28.0,,41.0,,24.0,,,,-13.0,,Phone
,Jan,,,G9000,,25.5,-1.3,48.2,1.8,20.8,-0.5,,,-22.7,-3.1,
,Feb,11-12,16,ICM,GU,26.0,,51.0,1.0,20.0,,,,-25.0,-1.0,
,Feb,22-28,4,Gallup,DT,25.0,-1.0,48.5,3.0,21.0,-2.0,,,-23.5,-4.0,
,Feb,24-28,4,MORI,TT,28.0,,47.0,-1.0,21.0,1.0,,,-19.0,1.0,
,Feb,,,G9000,,26.3,0.8,47.6,-0.6,21.0,0.2,,,-21.3,1.4,
,Mar,11-12,16,ICM,GU,24.0,-2.0,49.0,-2.0,22.0,2.0,,,-25.0,0.0,Old methodology
,Mar,,,ICM,GU,28.0,,47.0,,21.0,,,,-19.0,,New methodology
,Mar,24-28,31,MORI,TT,28.0,,49.0,2.0,20.0,-1.0,,,-21.0,-2.0,
,Mar,29-4,8,Gallup,DT,26.5,1.5,51.5,3.0,17.5,-2.5,,,-25.0,-1.5,
,Mar,31,3,NOP,IoS,26.0,,50.0,,20.0,,,,-24.0,,
,Mar,,,G9000,,25.9,-0.4,47.7,0.1,20.4,-0.6,,,-21.8,-0.5,
,Apr,6,8,MORI,ES,28.0,0.0,46.0,-3.0,22.0,2.0,,,-18.0,3.0,
,Apr,8-9,13,ICM,GU,29.0,1.0,46.0,-1.0,22.0,1.0,,,-17.0,2.0,
,Apr,20,23,NOP,Ind,26.0,0.0,48.0,-2.0,21.0,1.0,,,-22.0,2.0,
,Apr,21-25,28,MORI,TT,26.0,-2.0,47.0,-2.0,23.0,3.0,,,-21.0,0.0,
,Apr,,,G9000,,24.4,-1.5,48.3,0.6,22.3,1.9,,,-23.9,-2.1,
,May,4-9,14,Gallup,DT,24.5,-2.0,45.5,-6.0,25.0,7.5,,,-21.0,4.0,
,May,6-7,11,ICM,GU,27.0,-2.0,43.0,-3.0,25.0,3.0,,,-16.0,1.0,
,May,13-14,,MORI ,,26.0,,49.0,,20.0,,,,-23.0,-2.0,Phone
,May,17,23,ICM,DE,27.0,0.0,46.0,3.0,22.0,-3.0,,,-19.0,-3.0,
,May,19-23,26,MORI,TT,27.0,1.0,46.0,-1.0,23.0,0.0,,,-19.0,2.0,
,May,20-21,25,ICM,GU,30.0,3.0,44.0,-1.0,20.0,-2.0,,,-14.0,4.0,
,May,25-30,6,Gallup,DT,23.0,-1.5,53.5,8.0,19.0,-6.0,,,-30.5,-9.5,
,May,,,G9000,,22.8,-1.6,49.2,0.9,23.1,0.8,,,-26.4,-2.5,
,Jun,2-6,9,MORI,TT,23.0,-4.0,51.0,5.0,21.0,-2.0,,,-28.0,-9.0,
,Jun,4,8,ICM,DE,27.0,0.0,45.0,-1.0,22.0,0.0,,,-18.0,1.0,
,Jun,10,12,ICM,SE,26.5,-3.5,45.5,1.5,19.0,-1.0,,,-19.0,-5.0,
,Jun,,12,MORI ,GMB,22.0,-1.0,46.0,-5.0,22.0,1.0,,,-24.0,4.0,Phone
,Jun,16-20,24,MORI,TT,24.0,2.0,52.0,6.0,20.0,-2.0,,,-28.0,-4.0,
,Jun,30-1,8,Gallup,DT,26.5,3.5,51.0,-2.5,17.5,-1.5,,,-24.5,6.0,
,Jun,,,G9000,,21.6,-1.2,51.8,2.6,20.3,-2.8,,,-30.2,-3.8,
,Jul,8-9,13,ICM,GU,31.0,1.0,44.0,0.0,21.0,1.0,,,-13.0,1.0,
,Jul,14-18,22,MORI,TT,23.0,-1.0,51.0,-1.0,21.0,1.0,,,-28.0,0.0,
,Jul,27-1,5,Gallup,DT,23.0,-3.5,56.5,5.5,14.5,-3.0,,,-33.5,-9.0,
,Jul,,,G9000,,22.0,0.4,54.7,2.9,17.4,-2.9,,,-32.7,-2.5,
,Aug,5-6,10,ICM,GU,28.0,-3.0,49.0,5.0,19.0,-2.0,,,-21.0,8.0,
,Aug,20-21,26,MORI,TT,23.0,0.0,56.0,5.0,18.0,-3.0,,,-33.0,-5.0,
,Aug,26,28,NOP,IoS,26.0,,54.0,,16.0,,,,-28.0,,
,Aug,,,G9000,,23.0,1.0,55.5,0.8,16.6,-0.8,,,-32.5,0.2,
,Sep,1-5,9,Gallup,DT,22.0,-1.0,56.5,0.0,17.0,2.5,,,-34.5,-1.0,
,Sep,9-10,15,ICM,GU,33.0,5.0,45.0,-4.0,18.0,-1.0,,,-12.0,9.0,
,Sep,15-16,20,NOP,Ind,30.0,4.0,48.0,-6.0,17.0,1.0,,,-18.0,10.0,
,Sep,22-26,30,MORI,TT,25.0,2.0,54.0,-2.0,17.0,-1.0,,,-29.0,4.0,
,Sep,22-27,2,Gallup,DT,21.0,-1.0,57.5,1.0,15.5,-1.5,,,-36.5,-2.0,
,Sep,24-26,30,MORI,Econ,25.0,0.0,52.0,-2.0,18.0,1.0,,,-27.0,2.0,
,Sep,28-3,10,Gallup,DT,25.5,4.5,54.0,-3.5,16.5,1.0,,,-28.5,8.0,
,Sep,,,G9000,,22.8,-0.2,55.5,0.0,16.7,0.1,,,-32.7,-0.2,
,Oct,7-8,12,ICM,GU,32.0,-1.0,49.0,4.0,15.0,-3.0,,,-17.0,-5.0,
,Oct,20-24,28,MORI,TT,25.0,0.0,57.0,5.0,14.0,-4.0,,,-32.0,-5.0,
,Oct,27-31,4,Gallup,DT,21.5,-4.0,56.5,2.5,17.0,0.5,,,-35.0,-6.5,
,Oct,,,G9000,,22.8,0.0,56.7,1.2,15.5,-1.2,,,-33.9,-1.2,
,Nov,4-5,9,ICM,GU,31.0,-1.0,49.0,0.0,16.0,1.0,,,-18.0,-1.0,
,Nov,17-21,24,MORI,TT,24.0,-1.0,55.0,-2.0,17.0,3.0,,,-31.0,1.0,
,Nov,30-5,9,Gallup,DT,21.5,0.0,61.0,4.5,13.5,-3.5,,,-39.5,-4.5,
,Nov,,,G9000,,23.2,0.4,57.4,0.7,15.0,-0.5,,,-34.2,-0.3,
,Dec,2-3,8,ICM,GU,31.0,0.0,49.0,0.0,17.0,1.0,,,-18.0,0.0,
,Dec,9,10,ICM,OB,26.0,-5.0,53.0,4.0,17.0,0.0,,,-27.0,-9.0,
,Dec,15-19,22,MORI,TT,22.0,-2.0,61.0,6.0,13.0,-4.0,,,-39.0,-8.0,
,Dec,,,G9000,,20.4,-2.8,60.9,3.5,14.3,-0.7,,,-40.5,-6.3,
1995,Jan,4-9,13,Gallup,DT,18.5,-3.0,62.0,1.0,14.0,0.5,,,-43.5,-4.0,
,Jan,12-13,15,Harris,ST,25.0,,60.0,,12.0,,,,-35.0,,
,Jan,13-14,18,ICM,GU,30.0,4.0,48.0,-5.0,18.0,1.0,,,-18.0,9.0,
,Jan,20-23,26,MORI,TT,27.0,5.0,56.0,-5.0,14.0,1.0,,,-29.0,10.0,
,Jan,25-30,3,Gallup,DT,23.5,5.0,59.5,-2.5,13.0,-1.0,,,-36.0,7.5,
,Jan,,,G9000,,22.7,2.3,59.0,-1.9,13.7,-0.6,,,-36.3,4.2,
,Feb,10-11,17,ICM,GU,31.0,1.0,49.0,1.0,17.0,-1.0,,,-18.0,0.0,
,Feb,17-20,24,MORI,TT,24.0,-3.0,58.0,2.0,14.0,0.0,,,-34.0,-5.0,
,Feb,22-27,3,Gallup,DT,20.5,-3.0,60.5,1.0,15.0,2.0,,,-40.0,-4.0,
,Feb,,,G9000,,21.8,-0.9,59.5,0.5,13.7,0.0,,,-37.7,-1.4,
,Mar,10-11,15,ICM,GU,27.0,-4.0,52.0,3.0,17.0,0.0,,,-25.0,-7.0,
,Mar,17-20,23,MORI,TT,25.0,1.0,57.0,-1.0,13.0,-1.0,,,-32.0,2.0,
,Mar,24,26,MORI,ST,25.0,0.0,59.0,2.0,12.0,-1.0,,,-34.0,-2.0,
,Mar,29-3,7,Gallup,DT,23.0,2.5,57.5,-3.0,15.0,0.0,,,-34.5,5.5,
,Mar,,,G9000,,23.4,1.6,58.0,-1.5,13.9,0.2,,,-34.6,3.1,
,Apr,7-8,13,ICM,GU,26.0,-1.0,51.0,-1.0,18.0,1.0,,,-25.0,0.0,
,Apr,21-24,27,MORI,TT,26.0,1.0,56.0,-3.0,15.0,3.0,,,-30.0,4.0,
,Apr,,,G9000,,22.5,-0.9,57.2,-0.8,15.3,1.4,,,-34.7,-0.1,
,May,3-8,12,Gallup,DT,23.0,0.0,55.5,-2.0,16.5,1.5,,,-32.5,2.0,
,May,12-13,20,ICM,GU,29.0,3.0,48.0,-3.0,19.0,1.0,,,-19.0,6.0,
,May,19-22,25,MORI,TT,22.0,-4.0,58.0,2.0,16.0,1.0,,,-36.0,-6.0,
,May,31-5,9,Gallup,DT,20.0,-3.0,59.5,4.0,14.5,-2.0,,,-39.5,-7.0,
,May,,,G9000,,21.3,-1.2,57.4,0.2,16.6,1.3,,,-36.1,-1.4,
,Jun,9-10,16,ICM,GU,24.0,-5.0,53.0,5.0,19.0,0.0,,,-29.0,-10.0,
,Jun,23-24,,MORI,,32.0,,54.0,,11.0,,,,-22.0,,Phone
,Jun,23-26,29,MORI,TT,29.0,7.0,56.0,-2.0,13.0,-3.0,,,-27.0,9.0,
,Jun,26-27,30,MORI,Econ,31.0,2.0,55.0,-1.0,11.0,-2.0,,,-24.0,3.0,
,Jun,28-3,7,Gallup,DT,25.5,5.5,57.0,-2.5,13.0,-1.5,,,-31.5,8.0,
,Jun,,,G9000,,22.6,1.3,58.2,0.8,14.8,-1.8,,,-35.6,0.5,
,Jul,3,,MORI,,33.0,1.0,52.0,-2.0,10.0,-1.0,,,-19.0,3.0,Phone
,Jul,7-8,13,ICM,GU,32.0,6.0,47.0,-6.0,17.0,-2.0,,,-15.0,12.0,
,Jul,20-21,23,NOP,ST,27.0,,54.0,,14.0,,,,-27.0,,
,Jul,21,,MORI,,30.0,-1.0,52.0,-3.0,13.0,2.0,,,-22.0,2.0,
,Jul,21-24,27,MORI,TT,26.0,-4.0,59.0,7.0,12.0,-1.0,,,-33.0,-11.0,
,Jul,25-31,4,Gallup,DT,22.5,-3.0,57.5,0.5,14.5,1.5,,,-35.0,-3.5,
,Jul,28-31,4,ICM,DE,33.0,1.0,46.0,-1.0,16.0,-1.0,,,-13.0,2.0,
,Jul,,,G9000,,25.5,2.9,57.2,-1.0,12.9,-1.9,,,-31.7,3.9,
,Aug,4-5,10,ICM,GU,31.0,-2.0,48.0,2.0,17.0,1.0,,,-17.0,-4.0,
,Aug,17-18,20,NOP,ST,25.0,-2.0,54.0,0.0,17.0,3.0,,,-29.0,-2.0,
,Aug,25-28,31,MORI,TT,25.0,-1.0,56.0,-3.0,15.0,3.0,,,-31.0,2.0,
,Aug,31-4,8,Gallup,DT,26.5,4.0,54.5,-3.0,14.0,-0.5,,,-28.0,7.0,
,Aug,,,G9000,,24.7,-0.8,55.5,-1.7,15.0,2.1,,,-30.8,0.9,
,Sep,8-9,14,ICM,GU,31.0,0.0,48.0,0.0,17.0,0.0,,,-17.0,0.0,
,Sep,14-15,17,NOP,ST,27.0,2.0,53.0,-1.0,17.0,0.0,,,-26.0,3.0,
,Sep,22-25,28,MORI,TT,28.0,3.0,51.0,-5.0,16.0,1.0,,,-23.0,8.0,
,Sep,27-2,9,Gallup,DT,25.5,-1.0,55.5,1.0,14.0,0.0,,,-30.0,-2.0,
,Sep,,,G9000,,26.2,1.5,54.4,-1.1,14.6,-0.4,,,-28.2,2.6,
,Oct,6-7,13,ICM,GU,29.0,-2.0,49.0,1.0,17.0,0.0,,,-20.0,-3.0,
,Oct,19-20,22,NOP,ST,26.0,-1.0,56.0,3.0,15.0,-2.0,,,-30.0,-4.0,
,Oct,21-23,26,MORI,TT,27.0,-1.0,56.0,5.0,13.0,-3.0,,,-29.0,-6.0,Phone
,Oct,25-30,3,Gallup,DT,21.5,-4.0,61.0,5.5,14.5,0.5,,,-39.0,-9.5,
,Oct,,,G9000,,24.3,-1.9,58.9,4.5,13.0,-1.6,,,-34.6,-6.4,
,Nov,3-4,9,ICM,GU,30.0,1.0,47.0,-2.0,19.0,2.0,,,-17.0,3.0,
,Nov,16-17,19,NOP,ST,27.0,1.0,55.0,-1.0,14.0,-1.0,,,-28.0,2.0,
,Nov,17-20,23,MORI,TT,26.0,-1.0,56.0,0.0,14.0,1.0,,,-30.0,-1.0,
,Nov,29-4,8,Gallup,DT,23.0,1.5,62.0,1.0,12.0,-2.5,,,-39.0,0.5,
,Nov,30-1,2,NOP,ST,25.0,-2.0,57.0,2.0,15.0,1.0,,,-32.0,-4.0,
,Nov,,,G9000,,24.3,,59.5,0.6,12.3,-0.7,,,-35.2,-0.6,
,Dec,1-4,8,MORI,TT,28.0,2.0,55.0,-1.0,13.0,-1.0,,,-27.0,3.0,
,Dec,8-9,15,ICM,GU,31.0,1.0,48.0,1.0,16.0,-3.0,,,-17.0,0.0,
,Dec,13-14,7,ICM,OB,30.0,-1.0,50.0,2.0,14.0,-2.0,,,-20.0,-3.0,
,Dec,14-15,17,NOP,ST,25.0,0.0,55.0,-2.0,16.0,1.0,,,-30.0,2.0,
,Dec,,,G9000,,24.7,0.4,58.0,-1.5,13.0,0.7,,,-33.3,1.9,
1996,Jan,3,7?,NOP,ST,29.0,4.0,52.0,-3.0,13.0,-3.0,,,-23.0,7.0,
,Jan,3-8,12,Gallup,DT,21.0,-2.0,60.5,-1.5,14.5,2.5,,,-39.5,-0.5,
,Jan,5-6,11,ICM,GU,26.0,-4.0,48.0,-2.0,22.0,8.0,,,-22.0,-2.0,
,Jan,17,19??,NOP,ST,33.0,4.0,47.0,-5.0,14.0,1.0,,,-14.0,9.0,
,Jan,18-19,21,NOP,ST,28.0,-5.0,52.0,5.0,17.0,3.0,,,-24.0,-10.0,
,Jan,19-22,25,MORI,TT,29.0,1.0,55.0,0.0,13.0,0.0,,,-26.0,1.0,
,Jan,26-29,,MORI,,28.0,-1.0,54.0,-1.0,15.0,2.0,,,-26.0,0.0,
,Jan,,,G9000,,23.1,-1.6,55.6,-2.4,16.8,3.8,,,-32.5,0.8,
,Feb,1-5,9,Gallup,DT,28.0,7.0,54.5,-6.0,14.5,0.0,,,-26.5,13.0,
,Feb,2-4,7,ICM,GU,31.0,5.0,47.0,-1.0,19.0,-3.0,,,-16.0,6.0,
,Feb,9-12,,MORI,,26.0,-2.0,57.0,3.0,14.0,-1.0,,,-31.0,-5.0,
,Feb,15-16,18,NOP,ST,28.0,0.0,50.0,-2.0,17.0,0.0,,,-22.0,2.0,
,Feb,23-26,29,MORI,TT,26.0,0.0,57.0,0.0,14.0,0.0,,,-31.0,0.0,
,Feb,29-4,8,Gallup,DT,23.0,-5.0,57.5,3.0,16.0,1.5,,,-34.5,-8.0,
,Feb,,,G9000,,25.4,2.3,55.4,-0.2,14.9,-1.9,,,-30.0,2.5,
,Mar,2-4,7,ICM,GU,31.0,0.0,45.0,-2.0,20.0,1.0,,,-14.0,2.0,
,Mar,8-11,,MORI,,29.0,3.0,55.0,-2.0,13.0,-1.0,,,-26.0,5.0,
,Mar,14,17,NOP,ST,29.0,1.0,53.0,3.0,14.0,-3.0,,,-24.0,-2.0,
,Mar,22-25,,MORI,TT,28.0,-1.0,57.0,2.0,13.0,0.0,,,-29.0,-3.0,
