Year,Month,Fieldwork,,Published,,Polling,Publisher,Con,,Lab,,LD,,Con lead,,,,UKIP,Green,BNP,,Leader:,Con good,Con bad,Con net,Lab good,Lab bad,Lab net,LD good,LD bad,LD net,UKIP good,UKIP bad,UKIP net,Grn good,Grn bad,Grn net,Question,Con Best PM,Lab Best PM,LD Best PM,UKIP Best PM,,Govt good,Govt bad,Govt net,Question,Con,Lab,LD,UKIP,,,,
,Jul,20-21,20/7/10,,,YouGov,Sun,44.0,1.0,35.0,0.0,13.0,-1.0,9.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,35.0,7.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,21-22,21/7/10,,,YouGov,Sun,43.0,-1.0,35.0,0.0,15.0,2.0,8.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,35.0,9.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,22-23,22/7/10,25,,YouGov,ST,41.0,-2.0,36.0,1.0,14.0,-1.0,5.0,-3.0,Internet,,,,,,,57.0,32.0,25.0,,,,47.0,38.0,9.0,,,,,,,Do you think X is doing well or badly as… (LD leader),,,,,,41.0,35.0,6.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,,,,,Onepoll,People,40.0,,30.0,,23.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,23-25,23/7/10,27,,ICM,Gu,38.0,-3.0,34.0,-1.0,19.0,3.0,4.0,-2.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,23-25,23/7/10,27,,MORI,Reuters,40.0,1.0,38.0,7.0,14.0,-5.0,2.0,-6.0,Phone,Certain to vote,,,,,,55.0,32.0,23.0,,,,47.0,34.0,13.0,,,,,,,Are you satisfied or dissatisified with the way X is doing his job as… (DPM),,,,,,43.0,40.0,3.0,Are you satisfied or dissatisfied with the way the Govt is running the country?,,,,,,,,
,Jul,25-26,25/7/10,,,YouGov,Sun,42.0,1.0,35.0,-1.0,15.0,1.0,7.0,2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,37.0,3.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,26-27,26/7/10,,,YouGov,Sun,42.0,0.0,37.0,2.0,14.0,-1.0,5.0,-2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,38.0,2.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,27-28,27/7/10,,,YouGov,Sun,42.0,0.0,36.0,-1.0,14.0,0.0,6.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,36.0,5.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,29-30,29/7/10,1,,YouGov,ST,42.0,0.0,38.0,2.0,12.0,-2.0,4.0,-2.0,Internet,,,,,,,56.0,34.0,22.0,,,,46.0,38.0,8.0,,,,,,,Do you think X is doing well or badly as… (LD leader),,,,,,40.0,38.0,2.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,20-23,20/7/10,30,,Angus RS,,,,,,,,,,,,,,,,,53.0,35.0,18.0,,,,47.0,38.0,9.0,,,,,,,Do you approve or disapprove of X's performance as Y...,,,,,,,,,,,,,,,,,
,Aug,1-2,1/8/10,,,YouGov,Sun,42.0,0.0,38.0,0.0,12.0,0.0,4.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,38.0,3.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Aug,2-3,2/8/10,,,YouGov,Sun,41.0,-1.0,36.0,-2.0,13.0,1.0,5.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,37.0,5.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Aug,3-4,3/8/10,,,YouGov,Sun,42.0,1.0,36.0,0.0,13.0,0.0,6.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,38.0,4.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Aug,4-5,4/8/10,,,YouGov,Sun,44.0,2.0,36.0,0.0,13.0,0.0,8.0,2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,38.0,2.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Aug,5-6,5/8/10,8,,YouGov,ST,42.0,-2.0,36.0,0.0,13.0,0.0,6.0,-2.0,Internet,,,,,,,55.0,35.0,20.0,,,,48.0,40.0,8.0,,,,,,,Do you think X is doing well or badly as… (LD leader),,,,,,41.0,37.0,4.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Aug,6-8,6/8/10,10,,ComRes,Ind,39.0,-1.0,33.0,2.0,16.0,-2.0,6.0,-3.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,8-9,8/8/10,,,YouGov,Sun,40.0,-2.0,36.0,0.0,15.0,2.0,4.0,-2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,38.0,2.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Aug,9-10,9/8/10,,,YouGov,Sun,42.0,2.0,38.0,2.0,14.0,-1.0,4.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,39.0,2.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Aug,10-11,10/8/10,,,YouGov,Sun,41.0,-1.0,37.0,-1.0,15.0,1.0,4.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,40.0,1.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Aug,11-12,11/8/10,,,YouGov,Sun,42.0,1.0,37.0,0.0,14.0,-1.0,5.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,40.0,1.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Aug,12-13,12/8/10,14,,Harris,DM,38.0,2.0,36.0,6.0,16.0,-9.0,2.0,-4.0,,,,,,,,28.0,24.0,4.0,,,,,,,,,,,,,X has done mostly a … job,,,,,,,,,,,,,,,,,
,Aug,12-13,12/8/10,,,YouGov,ST,42.0,0.0,37.0,0.0,13.0,-1.0,5.0,0.0,Internet,,,,,,,54.0,37.0,17.0,,,,46.0,41.0,5.0,,,,,,,Do you think X is doing well or badly as… (LD leader),,,,,,41.0,39.0,2.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Aug,13-17,13/8/10,,,Opinium,,39.0,1.0,30.0,-4.0,16.0,0.0,9.0,5.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,13-15,13/8/10,18,,ICM,Gu,37.0,-1.0,37.0,3.0,18.0,-1.0,0.0,-4.0,Phone,,,,,,,57.0,31.0,26.0,,,,,,,,,,,,,From what you have heard do you think ... Is doing a good job or a bad job?,,,,,,46.0,36.0,10.0,From what you have heard do you think ... Is doing a good job or a bad job?,,,,,,,,
,Aug,13-15,13/8/10,18,,ComRes,Mirror,39.0,0.0,33.0,0.0,15.0,-1.0,6.0,0.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,15-16,15/8/10,,,YouGov,Sun,41.0,-1.0,37.0,0.0,15.0,2.0,4.0,-1.0,Internet,,,,,,,55.0,35.0,20.0,,,,44.0,39.0,5.0,,,,,,,So far do you think X has performed well or badly as...,,,,,,40.0,39.0,1.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Aug,16-17,16/8/10,,,YouGov,Sun,42.0,1.0,37.0,0.0,14.0,-1.0,5.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,39.0,2.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
