Year,Month,Fieldwork,,Published,,Polling,Publisher,Con,,Lab,,LD,,Con lead,,,,UKIP,Green,BNP,,Leader:,Con good,Con bad,Con net,Lab good,Lab bad,Lab net,LD good,LD bad,LD net,UKIP good,UKIP bad,UKIP net,Grn good,Grn bad,Grn net,Question,Con Best PM,Lab Best PM,LD Best PM,UKIP Best PM,,Govt good,Govt bad,Govt net,Question,Con,Lab,LD,UKIP,,,,
,Jul,1-2,1/7/13,,,YouGov,Sun,32.0,-1.0,40.0,2.0,9.0,1.0,-8.0,-3.0,Internet,,12.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,26.0,57.0,-31.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,2-3,2/7/13,,,YouGov,Sun,32.0,0.0,40.0,0.0,9.0,0.0,-8.0,0.0,Internet,,13.0,2.0,1.0,,,,,,,,,,,,,,,,,,,35,20,6,,,26.0,57.0,-31.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,3,3/7/13,5,,Survation,Mirror,23.0,-2.0,36.0,0.0,10.0,0.0,-13.0,-2.0,Internet,GB,22.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,3-4,3/7/13,,,YouGov,Sun,31.0,-1.0,39.0,-1.0,11.0,2.0,-8.0,0.0,Internet,,12.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,28.0,59.0,-31.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,4-5,4/7/13,7,,YouGov,ST,33.0,2.0,39.0,0.0,11.0,0.0,-6.0,2.0,Internet,,12.0,2.0,1.0,,,36.0,56.0,-20.0,26.0,60.0,-34.0,19.0,70.0,-51.0,,,,,,,Do you think X is doing well or badly as… (LD leader),,,,,,26.0,58.0,-32.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,7-8,7/7/13,,,YouGov,Sun,34.0,1.0,40.0,1.0,10.0,-1.0,-6.0,0.0,Internet,,10.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,29.0,54.0,-25.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,8-9,8/7/13,,,YouGov,Sun,31.0,-3.0,39.0,-1.0,10.0,0.0,-8.0,-2.0,Internet,,13.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,27.0,59.0,-32.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,9-10,9/7/13,,,YouGov,Sun,32.0,1.0,37.0,-2.0,11.0,1.0,-5.0,3.0,Internet,,12.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,27.0,58.0,-31.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,10-11,10/7/13,,,YouGov,Sun,32.0,0.0,40.0,3.0,10.0,-1.0,-8.0,-3.0,Internet,,13.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,27.0,58.0,-31.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,10-11,10/7/13,14,,ComRes,Ios/SM,28.0,2.0,36.0,1.0,8.0,-2.0,-8.0,1.0,Internet,,18.0,4.0,1.0,,,31.0,52.0,-21.0,23.0,51.0,-28.0,,,,,,,,,,... performing well or badly ...,,,,,,,,,,,,,,,,,
,Jul,11-12,11/7/13,14,,YouGov,ST,30.0,-2.0,41.0,1.0,10.0,0.0,-11.0,-3.0,Internet,,13.0,2.0,1.0,,,34.0,60.0,-26.0,27.0,62.0,-35.0,18.0,71.0,-53.0,,,,,,,Do you think X is doing well or badly as… (LD leader),,,,,,24.0,62.0,-38.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,11-12,11/7/13,14,,Survation,MoS,28.0,5.0,36.0,0.0,9.0,-2.0,-8.0,-5.0,Internet,GB,20.0,4.0,1.0,,,36.0,47.0,-11.0,21.0,48.0,-27.0,18.0,57.0,-39.0,,,,,,,To what extent do you approve/disapprove of how ... doing their jobs?,,,,,,,,,,,,,,,,,
,Jul,12-14,12/7/13,15,,Populus,,31.0,,38.0,,13.0,,-7.0,,Internet,,10.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,12-14,12/7/13,14,,Opinium,Ob,27.0,0.0,38.0,1.0,6.0,-1.0,-11.0,-1.0,Internet,,19.0,4.0,1.0,,,32.0,52.0,-20.0,22.0,47.0,-25.0,12.0,61.0,-49.0,,,,,,,To what extent do you approve or disapprove of the way ... is handling his job as ...,,,,,,,,,,,,,,,,,
,Jul,12-14,12/7/13,16,,ICM,Gu,36.0,7.0,36.0,0.0,13.0,1.0,0.0,7.0,Phone,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,13-15,13/7/13,17,,MORI,ES,29.0,-2.0,40.0,5.0,10.0,0.0,-11.0,-7.0,Phone,Certain to vote,12.0,4.0,0.0,,,38.0,54.0,-16.0,30.0,56.0,-26.0,27.0,61.0,-34.0,34.0,35.0,-1.0,,,,Are you satisfied or dissatisified with the way X is doing his job as… (DPM),,,,,,30.0,62.0,-32.0,Are you satisfied or dissatisfied with the way the Govt is running the country?,,,,,,,,
,Jul,14-15,14/7/13,,,YouGov,Sun,31.0,1.0,40.0,-1.0,11.0,1.0,-9.0,2.0,Internet,,11.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,25.0,58.0,-33.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,15-16,15/7/13,,,YouGov,Sun,32.0,1.0,38.0,-2.0,10.0,-1.0,-6.0,3.0,Internet,,12.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,28.0,57.0,-29.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,16-17,16/7/13,,,YouGov,Sun,31.0,-1.0,37.0,-1.0,12.0,2.0,-6.0,0.0,Internet,,13.0,3.0,0.0,,,,,,,,,,,,,,,,,,,33,20,7,,,27.0,59.0,-32.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,17-18,17/7/13,,,YouGov,Sun,33.0,2.0,38.0,1.0,11.0,-1.0,-5.0,-1.0,Internet,,11.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,28.0,57.0,-29.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,17-18,17/7/13,19,,Populus,,31.0,0.0,39.0,1.0,12.0,-1.0,-8.0,-1.0,Internet,,10.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,18-19,18/7/13,21,,YouGov,ST,32.0,-1.0,39.0,1.0,10.0,-1.0,-7.0,-2.0,Internet,,11.0,2.0,1.0,,,37.0,55.0,-18.0,26.0,61.0,-35.0,18.0,69.0,-51.0,,,,,,,Do you think X is doing well or badly as… (LD leader),,,,,,26.0,59.0,-33.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,18-22,18/7/13,23,,TNS BMRB,,28.0,1.0,38.0,2.0,9.0,1.0,-10.0,-1.0,Internet,,16.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,19-21,19/7/13,22,,Populus,,32.0,1.0,39.0,0.0,12.0,0.0,-7.0,1.0,Internet,,9.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,21-22,21/7/13,,,YouGov,Sun,35.0,3.0,38.0,-1.0,11.0,1.0,-3.0,4.0,Internet,,10.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,28.0,55.0,-27.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,22-23,22/7/13,,,YouGov,Sun,32.0,-3.0,39.0,1.0,11.0,0.0,-7.0,-4.0,Internet,,12.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,29.0,57.0,-28.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,23-24,23/7/13,,,YouGov,Sun,35.0,3.0,39.0,0.0,8.0,-3.0,-4.0,3.0,Internet,,11.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,28.0,56.0,-28.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,23-26,23/7/13,28,,Opinium,Ob,28.0,1.0,39.0,1.0,8.0,2.0,-11.0,0.0,Internet,,16.0,3.0,1.0,,,33.0,50.0,-17.0,22.0,44.0,-22.0,13.0,59.0,-46.0,,,,,,,To what extent do you approve or disapprove of the way ... is handling his job as ...,,,,,,,,,,,,,,,,,
,Jul,24-25,24/7/13,,,YouGov,Sun,32.0,-3.0,38.0,-1.0,11.0,3.0,-6.0,-2.0,Internet,,11.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,29.0,56.0,-27.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,24-25,24/7/13,26,,Populus,,32.0,0.0,39.0,0.0,11.0,-1.0,-7.0,0.0,Internet,,10.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,25-26,25/7/13,28,,YouGov,ST,33.0,1.0,39.0,1.0,10.0,-1.0,-6.0,0.0,Internet,,11.0,2.0,1.0,,,38.0,54.0,-16.0,25.0,62.0,-37.0,20.0,69.0,-49.0,,,,,,,Do you think X is doing well or badly as… (LD leader),,,,,,29.0,56.0,-27.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,25-27,25/7/13,31,,ComRes,Ind,34.0,4.0,37.0,1.0,10.0,0.0,-3.0,3.0,Phone,,12.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,26-28,26/7/13,29,,Populus,,34.0,2.0,39.0,0.0,11.0,0.0,-5.0,2.0,Internet,,8.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,28-29,28/7/13,,,YouGov,Sun,33.0,0.0,40.0,1.0,10.0,0.0,-7.0,-1.0,Internet,,12.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,28.0,57.0,-29.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,29-30,29/7/13,,,YouGov,Sun,34.0,1.0,40.0,0.0,11.0,1.0,-6.0,1.0,Internet,,10.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,29.0,57.0,-28.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,30-31,30/7/13,,,YouGov,Sun,33.0,-1.0,38.0,-2.0,10.0,-1.0,-5.0,1.0,Internet,,14.0,2.0,0.0,,,,,,,,,,,,,,,,,,,36,19,6,,,29.0,55.0,-26.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,31-1,31/7/13,2,,Populus,,29.0,-5.0,40.0,1.0,11.0,0.0,-11.0,-6.0,Internet,,12.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,31-1,31/7/13,,,YouGov,Sun,34.0,1.0,40.0,2.0,10.0,0.0,-6.0,-1.0,Internet,,11.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,28.0,55.0,-27.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Aug,1-2,1/8/13,4,,YouGov,ST,32.0,-2.0,38.0,-2.0,10.0,0.0,-6.0,0.0,Internet,,13.0,2.0,1.0,,,39.0,56.0,-17.0,23.0,64.0,-41.0,19.0,72.0,-53.0,,,,,,,Do you think X is doing well or badly as… (LD leader),,,,,,28.0,57.0,-29.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Aug,1-5 Sept,1/8/13,,,Lord Ashcroft,,30.0,,35.0,,12.0,,-5.0,,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,2,2/8/13,4,,Survation,MoS,28.0,0.0,36.0,0.0,11.0,2.0,-8.0,0.0,Internet,GB,18.0,1.0,1.0,,,35.0,50.0,-15.0,27.0,49.0,-22.0,24.0,59.0,-35.0,29.0,40.0,-11.0,,,,Do you have a favourable or unfavourable view of the way X is handling his job as Y?,,,,,,,,,,,,,,,,,
,Aug,2-4,2/8/13,5,,Populus,,33.0,4.0,38.0,-2.0,12.0,1.0,-5.0,6.0,Internet,,9.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,4-5,4/8/13,,,YouGov,Sun,34.0,2.0,38.0,0.0,11.0,1.0,-4.0,2.0,Internet,,12.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,31.0,53.0,-22.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Aug,5-6,5/8/13,,,YouGov,Sun,32.0,-2.0,39.0,1.0,10.0,-1.0,-7.0,-3.0,Internet,,11.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,28.0,57.0,-29.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Aug,6-7,6/8/13,,,YouGov,Sun,31.0,-1.0,39.0,0.0,11.0,1.0,-8.0,-1.0,Internet,,11.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,27.0,57.0,-30.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Aug,6-8,6/8/13,11,,Opinium,Ob,29.0,1.0,36.0,-3.0,9.0,1.0,-7.0,4.0,Internet,,17.0,3.0,1.0,,,34.0,49.0,-15.0,21.0,47.0,-26.0,13.0,58.0,-45.0,,,,,,,To what extent do you approve or disapprove of the way ... is handling his job as ...,,,,,,,,,,,,,,,,,
,Aug,7-8,7/8/13,9,,Populus,,32.0,-1.0,38.0,0.0,12.0,0.0,-6.0,-1.0,Internet,,9.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,7-8,7/8/13,,,YouGov,Sun,34.0,3.0,38.0,-1.0,9.0,-2.0,-4.0,4.0,Internet,,12.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,30.0,55.0,-25.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Aug,8-9,8/8/13,11,,YouGov,ST,33.0,-1.0,41.0,3.0,9.0,0.0,-8.0,-4.0,Internet,,10.0,3.0,0.0,,,39.0,54.0,-15.0,25.0,61.0,-36.0,18.0,71.0,-53.0,,,,,,,Do you think X is doing well or badly as… (LD leader),,,,,,29.0,57.0,-28.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Aug,9-11,9/8/13,12,,Populus,,33.0,1.0,39.0,1.0,12.0,0.0,-6.0,0.0,Internet,,10.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,9-11,9/8/13,13,,ICM,Gu,32.0,-4.0,35.0,-1.0,14.0,1.0,-3.0,-3.0,Phone,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug ,9-11,9/8/13,,,ICM,,,,,,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,32,16,12,What % share do you think party would win...,,,
,Aug,10-12,10/8/13,15,,MORI,ES,30.0,1.0,40.0,0.0,10.0,0.0,-10.0,1.0,Phone,Certain to vote,11.0,5.0,0.0,,,38.0,55.0,-17.0,28.0,55.0,-27.0,27.0,62.0,-35.0,33.0,38.0,-5.0,,,,Are you satisfied or dissatisified with the way X is doing his job as… (DPM),,,,,,32.0,60.0,-28.0,Are you satisfied or dissatisfied with the way the Govt is running the country?,,,,,,,,
,Aug,11-12,11/8/13,,,YouGov,Sun,33.0,,40.0,,8.0,,-7.0,,Internet,Methodology changed re weighting,13.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,28.0,58.0,-30.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Aug,12-13,12/8/13,,,YouGov,Sun,35.0,2.0,38.0,-2.0,10.0,2.0,-3.0,4.0,Internet,,11.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,28.0,57.0,-29.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Aug,13-14,13/8/13,,,YouGov,Sun,32.0,-3.0,38.0,0.0,11.0,1.0,-6.0,-3.0,Internet,,13.0,2.0,0.0,,,,,,,,,,,,,,,,,,,33,19,7,,,27.0,56.0,-29.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Aug,14-15,14/8/13,,,YouGov,Sun,34.0,2.0,39.0,1.0,9.0,-2.0,-5.0,1.0,Internet,,11.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,28.0,55.0,-27.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Aug,14-15,14/8/13,16,,Populus,,36.0,3.0,39.0,0.0,10.0,-2.0,-3.0,3.0,Internet,,8.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,14-15,14/8/13,18,,ComRes,IoS/SM,28.0,0.0,37.0,1.0,8.0,0.0,-9.0,-1.0,Internet,,19.0,3.0,1.0,,,28.0,55.0,-27.0,22.0,50.0,-28.0,,,,,,,,,,... is turning out to be a good ...,,,,,,,,,,,,,,,,,
,Aug,15-16,15/8/13,18,,YouGov,ST,32.0,-2.0,38.0,-1.0,10.0,1.0,-6.0,-1.0,Internet,,13.0,3.0,1.0,,,39.0,54.0,-15.0,23.0,65.0,-42.0,21.0,68.0,-47.0,,,,,,,Do you think X is doing well or badly as… (LD leader),,,,,,29.0,57.0,-28.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Aug,16-18,16/8/13,19,,Populus,,32.0,-4.0,38.0,-1.0,12.0,2.0,-6.0,-3.0,Internet,,11.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,18-19,18/8/13,,,YouGov,Sun,31.0,-1.0,38.0,0.0,10.0,0.0,-7.0,-1.0,Internet,,14.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,26.0,60.0,-34.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Aug,19-20,19/8/13,,,YouGov,Sun,32.0,1.0,39.0,1.0,10.0,0.0,-7.0,0.0,Internet,,12.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,29.0,58.0,-29.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Aug,20-21,20/8/13,,,YouGov,Sun,34.0,2.0,37.0,-2.0,9.0,-1.0,-3.0,4.0,Internet,,13.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,30.0,55.0,-25.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Aug,20-23,20/8/13,25,,Opinium,Ob,29.0,0.0,36.0,0.0,8.0,-1.0,-7.0,0.0,Internet,,18.0,4.0,1.0,,,32.0,50.0,-18.0,19.0,50.0,-31.0,13.0,60.0,-47.0,,,,,,,To what extent do you approve or disapprove of the way ... is handling his job as ...,,,,,,,,,,,,,,,,,
,Aug,21-22,21/8/13,,,YouGov,Sun,32.0,-2.0,39.0,2.0,11.0,2.0,-7.0,-4.0,Internet,,10.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,28.0,57.0,-29.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Aug,21-23,21/8/13,25,,ICM,STel,,,,,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,32,16,12,What % share do you think party would win...,,,
,Aug,21-23,21/8/13,23,,Populus,,30.0,-2.0,38.0,0.0,12.0,0.0,-8.0,-2.0,Internet,,12.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,22-23,22/8/13,25,,YouGov,ST,32.0,0.0,38.0,-1.0,10.0,-1.0,-6.0,1.0,Internet,,13.0,3.0,1.0,,,38.0,56.0,-18.0,20.0,68.0,-48.0,19.0,72.0,-53.0,,,,,,,Do you think X is doing well or badly as… (LD leader),,,,,,27.0,58.0,-31.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Aug,22-28,22/8/13,,,Survation,LibDems,30.0,2.0,36.0,0.0,10.0,-1.0,-6.0,2.0,Internet,GB,16.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,23-26,23/8/13,26,,Populus,,33.0,3.0,37.0,-1.0,13.0,1.0,-4.0,4.0,Internet,,10.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,26-27,26/8/13,,,YouGov,Sun,34.0,2.0,39.0,1.0,8.0,-2.0,-5.0,1.0,Internet,,12.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,28.0,58.0,-30.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Aug,27-28,17/8/13,,,YouGov,Sun,34.0,0.0,37.0,-2.0,11.0,3.0,-3.0,2.0,Internet,,12.0,2.0,1.0,,,,,,,,,,,,,,,,,,,35,18,6,,,28.0,56.0,-28.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Aug,28-29,28/8/13,,,YouGov,Sun,33.0,-1.0,37.0,0.0,10.0,-1.0,-4.0,-1.0,Internet,,12.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,29.0,55.0,-26.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Aug,28-29,28/8/13,30,,Populus,,33.0,0.0,39.0,2.0,12.0,-1.0,-6.0,-2.0,Internet,,9.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,29-2,29/8/13,2,,TNS BMRB,,28.0,0.0,39.0,1.0,11.0,2.0,-11.0,-1.0,Internet,,13.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,30,30/8/13,,,Survation,MoS,29.0,-1.0,37.0,1.0,11.0,1.0,-8.0,0.0,Internet,GB,17.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,30-31,30/8/13,1,,YouGov,ST,31.0,-2.0,41.0,4.0,9.0,-1.0,-10.0,-6.0,Internet,,13.0,2.0,0.0,,,36.0,55.0,-19.0,24.0,63.0,-39.0,20.0,67.0,-47.0,,,,,,,Do you think X is doing well or badly as… (LD leader),,,,,,27.0,56.0,-29.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Aug,30-1,30/8/13,3,,ComRes,Ind,31.0,-3.0,37.0,0.0,12.0,2.0,-6.0,-3.0,Phone,,10.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,30-1,30/8/13,2,,Populus,,34.0,1.0,38.0,-1.0,12.0,0.0,-4.0,2.0,Internet,,8.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,1-2,1/9/13,,,YouGov,Sun,33.0,2.0,40.0,-1.0,9.0,0.0,-7.0,3.0,Internet,,12.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,28.0,57.0,-29.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Sep,2-3,2/9/13,,,YouGov,Sun,33.0,0.0,37.0,-3.0,9.0,0.0,-4.0,3.0,Internet,,13.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,27.0,58.0,-31.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Sep,3-4,3/9/13,,,YouGov,Sun,33.0,0.0,39.0,2.0,10.0,1.0,-6.0,2.0,Internet,,12.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,30.0,53.0,-23.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Sep,3-6,3/9/13,8,,Opinium,Ob,30.0,1.0,35.0,-1.0,7.0,-1.0,-5.0,2.0,Internet,,17.0,4.0,2.0,,,34.0,49.0,-15.0,20.0,51.0,-31.0,13.0,60.0,-47.0,,,,,,,To what extent do you approve or disapprove of the way ... is handling his job as ...,,,,,,,,,,,,,,,,,
,Sep,4-5,4/9/13,6,,Populus,,33.0,-1.0,37.0,-1.0,14.0,2.0,-4.0,0.0,Internet,,8.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,4-5,4/9/13,,,YouGov,Sun,31.0,-2.0,38.0,-1.0,10.0,0.0,-7.0,-1.0,Internet,,13.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,26.0,58.0,-32.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Sep,4-6,4/9/13,8,,ICM,STel,,,,,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,32,16,12,What % share do you think party would win...,,,
,Sep,5-6,5/9/13,8,,YouGov,ST,34.0,3.0,38.0,0.0,9.0,-1.0,-4.0,3.0,Internet,,12.0,3.0,0.0,,,39.0,54.0,-15.0,21.0,67.0,-46.0,18.0,71.0,-53.0,,,,,,,Do you think X is doing well or badly as… (LD leader),,,,,,29.0,57.0,-28.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Sep,6-8,6/9/13,9,,Populus,,34.0,1.0,37.0,0.0,13.0,-1.0,-3.0,1.0,Internet,,9.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,7-9,7/9/13,11,,MORI,ES,34.0,4.0,37.0,-3.0,10.0,0.0,-3.0,7.0,Phone,Certain to vote,11.0,3.0,0.0,,,36.0,56.0,-20.0,24.0,60.0,-36.0,24.0,64.0,-40.0,29.0,36.0,-7.0,,,,Are you satisfied or dissatisified with the way X is doing his job as… (DPM),,,,,,32.0,60.0,-28.0,Are you satisfied or dissatisfied with the way the Govt is running the country?,,,,,,,,
,Sep,8-9,8/9/13,,,YouGov,Sun,33.0,-1.0,38.0,0.0,8.0,-1.0,-5.0,-1.0,Internet,,14.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,26.0,56.0,-30.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Sep,9-10,9/9/13,,,YouGov,Sun,33.0,0.0,39.0,1.0,9.0,1.0,-6.0,-1.0,Internet,,11.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,28.0,56.0,-28.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Sep,10-11,10/9/13,,,YouGov,Sun,32.0,-1.0,39.0,0.0,10.0,1.0,-7.0,-1.0,Internet,,12.0,2.0,0.0,,,,,,,,,,,,,,,,,,,34,21,5,,,30.0,55.0,-25.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Sep,11-12,11/9/13,,,YouGov,Sun,34.0,2.0,38.0,-1.0,8.0,-2.0,-4.0,3.0,Internet,,13.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,31.0,56.0,-25.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Sep,11-12,11/9/13,13,,Populus,,34.0,0.0,41.0,4.0,10.0,-3.0,-7.0,-4.0,Internet,,7.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,12-13,12/9/13,15,,YouGov,ST,33.0,-1.0,38.0,0.0,9.0,1.0,-5.0,-1.0,Internet,,12.0,3.0,1.0,,,40.0,52.0,-12.0,21.0,67.0,-46.0,19.0,69.0,-50.0,,,,,,,Do you think X is doing well or badly as… (LD leader),,,,,,31.0,54.0,-23.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Sep,12-16,12/9/13,23,,TNS BMRB,,29.0,1.0,39.0,0.0,9.0,-2.0,-10.0,1.0,Internet,,14.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,13-15,13/9/13,16,,Populus,,33.0,-1.0,40.0,-1.0,11.0,1.0,-7.0,0.0,Internet,,9.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
