Year,Month,Fieldwork,,Published,,Polling,Publisher,Con,,Lab,,LD,,UKIP,,Green,,Con lead,,,,,Leader:,Con good,Con bad,Con net,Lab good,Lab bad,Lab net,LD good,LD bad,LD net,UKIP good,UKIP bad,UKIP net,Grn good,Grn bad,Grn net,Question,Con Best PM,Lab Best PM,LD Best PM,UKIP Best PM,Question,Govt good,Govt bad,Govt net,Question,,,,,,,,
,Oct,9-11,9/10/15,12,,ICM,Gu,38.0,0.0,34.0,2.0,7.0,-1.0,11.0,-2.0,3.0,0.0,4.0,-2.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,13-16,13/10/15,17,,Opinium,Ob,37.0,0.0,32.0,0.0,5.0,-1.0,15.0,1.0,4.0,0.0,5.0,0.0,Internet,,,,42.0,44.0,-2.0,26.0,45.0,-19.0,11.0,31.0,-20.0,24.0,44.0,-20.0,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,41.0,22.0,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,,,,,
,Oct,14-15,14/10/15,17,,ComRes,IoS/SM,42.0,0.0,29.0,-1.0,7.0,0.0,13.0,0.0,3.0,0.0,13.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,16-19,16/10/15,,,Sky,,,,,,,,,,,,,,Internet,,,,41.0,53.0,-12.0,26.0,52.0,-26.0,15.0,40.0,-25.0,37.0,43.0,-6.0,,,,Are you satisfied or disatisfied with the performance of X as Y?,,,,,,,,,,,,,,,,,
,Oct,17-19,17/10/15,23,,Ipsos MORI,ES,36.0,-3.0,32.0,-2.0,10.0,1.0,12.0,5.0,3.0,-1.0,4.0,-1.0,Phone,,,,42.0,51.0,-9.0,37.0,39.0,-2.0,22.0,27.0,-5.0,45.0,37.0,8.0,,,,Are you satisfied or dissatisfied with the way X is doing his job as…,,,,,,38.0,57.0,-19.0,Are you satisfied or dissatisfied with the way the Govt is running the country?,,,,,,,,
,Oct,22-27,22/10/15,30,,BMG,,37.0,,31.0,,6.0,,15.0,,5.0,,6.0,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,23-25,23/10/15,30,,ComRes,DM,38.0,-1.0,33.0,3.0,8.0,-1.0,10.0,-2.0,3.0,-1.0,5.0,-4.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,26-27,26/10/15,28,,YouGov,,,,,,,,,,,,,,Internet,,,,43.0,49.0,-6.0,30.0,50.0,-20.0,14.0,32.0,-18.0,37.0,40.0,-3.0,,,,Do you think X is doing well or badly as… ,,,,,,,,,,,,,,,,,
,Nov,6-9,6/11/15,,,Sky,,,,,,,,,,,,,,Internet,,,,40.0,54.0,-14.0,30.0,52.0,-22.0,15.0,40.0,-25.0,30.0,50.0,-20.0,,,,Are you satisfied or disatisfied with the performance of X as Y?,,,,,,,,,,,,,,,,,
,Nov,11-17,11/11/15,23,,BMG,,37.0,0.0,30.0,-1.0,7.0,1.0,15.0,0.0,4.0,-1.0,7.0,1.0,Internet,,,,37.0,55.0,-18.0,30.0,42.0,-12.0,16.0,28.0,-12.0,29.0,42.0,-13.0,,,,Are you satisfied or dissatisfied with the way X is doing his job as…,,,,,,,,,,,,,,,,,
,Nov,13-15,13/11/15,18,,ICM,Gu,39.0,1.0,33.0,-1.0,7.0,0.0,12.0,1.0,3.0,0.0,6.0,1.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
