Year,Month,Fieldwork,,Published,,Polling,Publisher,Con,,Lab,,LD,,UKIP,,Green,,Con lead,,,,,Leader:,Con good,Con bad,Con net,Lab good,Lab bad,Lab net,LD good,LD bad,LD net,UKIP good,UKIP bad,UKIP net,Grn good,Grn bad,Grn net,Question,Con Best PM,Lab Best PM,LD Best PM,UKIP Best PM,Question,Govt good,Govt bad,Govt net,Question,,,,,,,,
,Jan,30-3,30/1/17,4,,Opinium,Ob,37.0,-1.0,30.0,0.0,8.0,1.0,14.0,0.0,5.0,1.0,7.0,-1.0,Internet,,,,44.0,29.0,15.0,20.0,49.0,-29.0,14.0,34.0,-20.0,12.0,34.0,-22.0,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,43.0,14.0,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,,,,,
,Feb,2-3,2/2/17,4,,YouGov,PB,,,,,,,,,,,,,Internet,,,,46.0,40.0,6.0,22.0,62.0,-40.0,14.0,33.0,-19.0,7.0,30.0,-23.0,,,,Do you have a favourable or unfavourable opinion of…,,,,,,,,,,,,,,,,,
,Feb,3-5,3/2/17,7,,ICM,Gu,42.0,0.0,27.0,1.0,10.0,0.0,12.0,-1.0,4.0,-1.0,15.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,3-6,3/2/17,,,Sky,,,,,,,,,,,,,,Internet,,,,53.0,39.0,14.0,21.0,66.0,-45.0,20.0,42.0,-22.0,18.0,41.0,-23.0,,,,Are you satisfied or disatisfied with the performance of X as Y?,,,,,,,,,,,,,,,,,
,Feb,5-6,5/2/17,13,,YouGov,TT,40.0,0.0,24.0,-2.0,11.0,0.0,14.0,2.0,4.0,0.0,16.0,2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,8-10,8/2/17,11,,ComRes,IoS/SM,41.0,,26.0,,11.0,,11.0,,4.0,,15.0,,Internet,,,,41.0,32.0,9.0,20.0,53.0,-33.0,11.0,26.0,-15.0,,,,,,,Do you have a favourable or unfavourable view of…,,,,,,,,,,,,,,,,,
,Feb,10-14,10/2/17,16,,Ipsos MORI,ES,40.0,-3.0,29.0,-2.0,13.0,2.0,9.0,3.0,4.0,0.0,11.0,-1.0,Phone,,,,53.0,36.0,17.0,24.0,62.0,-38.0,,,,,,,,,,Are you satisfied or dissatisfied with the way X is doing his job as…,,,,,,36.0,54.0,-18.0,Are you satisfied or dissatisfied with the way the Govt is running the country?,,,,,,,,
,Feb,12-13,12/2/17,17,,YouGov,TT,40.0,0.0,24.0,0.0,11.0,0.0,15.0,1.0,4.0,0.0,16.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,49.0,15.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,,
,Feb,14-16,14/2/17,19,,Opinium,Ob,40.0,3.0,27.0,-3.0,8.0,0.0,14.0,0.0,4.0,-1.0,13.0,6.0,Internet,,,,45.0,28.0,17.0,17.0,52.0,-35.0,14.0,35.0,-21.0,11.0,42.0,-31.0,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,46.0,13.0,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,,,,,
,Feb,17-19,17/2/17,20,,ICM,Gu,44.0,2.0,26.0,-1.0,8.0,-2.0,13.0,1.0,4.0,0.0,18.0,3.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,21-22,21/2/17,,,YouGov,TT,41.0,1.0,25.0,1.0,11.0,0.0,13.0,-2.0,3.0,-1.0,16.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,49.0,15.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,,
,Feb,21-24,21/2/17,,,BMG,,,,,,,,,,,,,,Internet,,,,48.0,29.0,19.0,23.0,47.0,-24.0,,,,,,,,,,Are you satisfied or dissatisfied with the way X is doing his job as…,,,,,,,,,,,,,,,,,
,Feb,27-28,27/2/17,1,,YouGov,TT,42.0,1.0,25.0,0.0,11.0,0.0,12.0,-1.0,4.0,1.0,17.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,49.0,15.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,,
,Mar,1-15,1/3/17,27,,GfK,,41.0,,28.0,,7.0,,12.0,,6.0,,13.0,,Internet,,,,46.0,33.0,13.0,17.0,58.0,-41.0,,,,,,,,,,Do you approve or disapprove of the way X is handling his/her job as…,,,,,,40.0,40.0,0.0,Do you approve or disapprove of the way the Govt is running the country?,,,,,,,,
,Mar,3-5,3/3/17,7,,ICM,Gu,44.0,0.0,28.0,2.0,8.0,0.0,11.0,-2.0,5.0,1.0,16.0,-2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,8-9,8/3/17,10,,YouGov,TT,44.0,2.0,25.0,0.0,11.0,-1.0,10.0,-1.0,3.0,-1.0,19.0,2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,10-13,10/3/17,,,Sky,,,,,,,,,,,,,,Internet,,,,49.0,42.0,7.0,18.0,68.0,-50.0,20.0,43.0,-23.0,14.0,51.0,-37.0,,,,Are you satisfied or disatisfied with the performance of X as Y?,,,,,,,,,,,,,,,,,
,Mar,10-14,10/3/17,16,,Ipsos MORI,ES,43.0,3.0,30.0,1.0,13.0,0.0,6.0,-3.0,4.0,0.0,13.0,2.0,Phone,,,,52.0,39.0,13.0,23.0,64.0,-41.0,26.0,36.0,-10.0,14.0,51.0,-37.0,,,,Are you satisfied or dissatisfied with the way X is doing his job as…,,,,,,38.0,54.0,-16.0,Are you satisfied or dissatisfied with the way the Govt is running the country?,,,,,,,,
,Mar,13-14,13/3/17,15,,YouGov,TT,44.0,0.0,27.0,2.0,10.0,-1.0,9.0,-1.0,4.0,1.0,17.0,-2.0,Internet,,,,,,,,,,,,,,,,,,,,48.0,14.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,,
,Mar,14-17,14/3/17,19,,Opinium,Ob,41.0,1.0,28.0,1.0,8.0,0.0,13.0,-1.0,3.0,-1.0,13.0,0.0,Internet,,,,45.0,29.0,16.0,18.0,53.0,-35.0,14.0,36.0,-22.0,9.0,43.0,-34.0,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,45.0,14.0,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,,,,,
,Mar,15-17,15/3/17,19,,ComRes,IoS/SM,42.0,1.0,25.0,-1.0,12.0,1.0,10.0,-1.0,4.0,0.0,17.0,2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,17-19,17/3/17,20,,ICM,Gu,45.0,1.0,26.0,-2.0,9.0,1.0,10.0,-1.0,4.0,-1.0,19.0,3.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,20-21,20/3/17,22,,YouGov,TT,41.0,-3.0,25.0,-2.0,11.0,1.0,12.0,3.0,3.0,-1.0,16.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,47.0,14.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,,
,Mar,21-28,21/3/17,10,,Lord Ashcroft,,41.0,,28.0,,9.0,,10.0,,,,13.0,,Internet,,,,,,,,,,,,,,,,,,,,55.0,18.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,,
,Mar,26-27,26/3/17,29,,YouGov,TT,43.0,2.0,25.0,0.0,11.0,0.0,10.0,-2.0,3.0,0.0,18.0,2.0,Internet,,,,,,,,,,,,,,,,,,,,51.0,13.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,,
,Mar,27-28,27/3/17,,,YouGov,,,,,,,,,,,,,,,,,,55.0,31.0,24.0,13.0,71.0,-58.0,16.0,34.0,-18.0,,,,,,,Do you think that X is doing well or badly as Y?,,,,,,,,,,,,,,,,,
,Mar,28-29,28/3/17,,,YouGov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,41.0,-7.0,Do you approve or disapprove of the way the Govt is running the country?,,,,,,,,
,Mar,28-31,28/3/18,,,BMG,,,,,,,,,,,,,,Internet,,,,46.0,34.0,12.0,19.0,53.0,-34.0,,,,,,,,,,Are you satisfied or dissatisfied with the way X is doing his job as…,,,,,,,,,,,,,,,,,
,Mar,31-2,31/3/17,3,,ICM,Gu,43.0,-2.0,25.0,-1.0,11.0,2.0,11.0,1.0,4.0,0.0,18.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,51.0,13.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,,
,Apr,5-6,5/4/17,11,,YouGov,TT,42.0,-1.0,25.0,0.0,11.0,0.0,11.0,1.0,3.0,0.0,17.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,49.0,16.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,,
,Apr,11-13,11/4/17,15,,Opinium,Ob,38.0,-3.0,29.0,1.0,7.0,-1.0,14.0,1.0,5.0,2.0,9.0,-4.0,Internet,,,,48.0,27.0,21.0,18.0,53.0,-35.0,15.0,34.0,-19.0,9.0,42.0,-33.0,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,47.0,14.0,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,,,,,
,Apr,11-13,11/4/17,15,,ComRes,IoS/SM,46.0,4.0,25.0,0.0,11.0,-1.0,9.0,-1.0,4.0,0.0,21.0,4.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,12-13,12/4/17,17,,YouGov,TT,44.0,2.0,23.0,-2.0,12.0,1.0,10.0,-1.0,4.0,1.0,21.0,4.0,Internet,,,,,,,,,,,,,,,,,,,,50.0,14.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,,
,Apr,14-17,14/4/17,18,,ICM,Gu,44.0,1.0,26.0,1.0,10.0,-1.0,11.0,0.0,4.0,0.0,18.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,18,18/4/17,18,,ICM,Gu,46.0,2.0,25.0,-1.0,11.0,1.0,8.0,-3.0,4.0,0.0,21.0,3.0,Internet,,,,57.0,24.0,33.0,13.0,61.0,-48.0,17.0,35.0,-18.0,9.0,51.0,-42.0,,,,"From what you have seen or heard, do you think … has done a good or bad job?",,,,,,,,,,,,,,,,,
,Apr,18-19,18/4/17,20,,YouGov,TT,48.0,4.0,24.0,1.0,12.0,0.0,7.0,-3.0,2.0,-2.0,24.0,3.0,Internet,,,,,,,,,,,,,,,,,,,,54.0,15.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,,
,Apr,19-20,19/4/17,22,,Opinium,Ob,45.0,7.0,26.0,-3.0,11.0,4.0,9.0,-5.0,3.0,-2.0,19.0,10.0,Internet,,,,49.0,28.0,21.0,18.0,53.0,-35.0,17.0,35.0,-18.0,11.0,42.0,-31.0,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,49.0,14.0,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,,,,,
,Apr,19-20,19/4/17,23,,ComRes,IoS/SM,50.0,4.0,25.0,0.0,11.0,0.0,7.0,-2.0,3.0,-1.0,25.0,4.0,Internet,,,,,,,,,,,,,,,,,,,,62.0,25.0,10.0,4.0,Who of the following would make the best PM after the upcoming general election?,,,,,,,,,,,,
,Apr,19-20,19/4/17,23,,ORB,STel ,44.0,,29.0,,8.0,,10.0,,,,15.0,,Internet,,,,56.0,41.0,15.0,29.0,66.0,-37.0,19.0,51.0,-32.0,11.0,54.0,-43.0,,,,"In general do you have a very favourable, favourable… opinion of each of the following party leaders?",,,,,,,,,,,,,,,,,
,Apr,19-20,19/4/17,,,YouGov,,,,,,,,,,,,,,,,,,48.0,38.0,10.0,22.0,64.0,-42.0,17.0,43.0,-26.0,6.0,49.0,-43.0,,,,Do you have a favourable or unfavourable opinion of…,,,,,,,,,,,,,,,,,
,Apr,19-21,19/4/17,23,,ICM,ITV,48.0,2.0,26.0,1.0,10.0,-1.0,8.0,0.0,3.0,-1.0,22.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,20-21,20/4/17,23,,YouGov,ST,48.0,0.0,25.0,1.0,12.0,0.0,5.0,-2.0,3.0,1.0,23.0,-1.0,Internet,,,,53.0,36.0,17.0,15.0,67.0,-52.0,,,,,,,,,,Do you think that X is doing well or badly as Y?,46.0,12.0,6.0,1.0,Which of the following do you think would make the best PM?,35.0,41.0,-6.0,Do you approve or disapprove of the way the Govt is running the country?,,,,,,,,
,Apr,20-24,20/4/17,25,,Kantar TNS,,46.0,,24.0,,11.0,,8.0,,4.0,,22.0,,Internet,,,,,,,,,,,,,,,,,,,,44.0,18.0,,,"If you had to choose between X and Y, who do you think would m ake the best leader for Britain?",,,,,,,,,,,,
,Apr,20-24,20/4/17,26,,Panelbase,,49.0,,27.0,,10.0,,5.0,,3.0,,22.0,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,20-24,20/4/17,25,,ComRes,,48.0,,29.0,,11.0,,3.0,,2.0,,19.0,,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,21-22,21/4/17,23,,Survation,MoS,40.0,2.0,29.0,0.0,11.0,1.0,11.0,-2.0,2.0,0.0,11.0,2.0,Internet,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,,,23,,Norstat,S Express,42.0,,26.0,,10.0,,8.0,,6.0,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,21-24,21/4/17,24,,ICM,Gu,48.0,0.0,27.0,1.0,10.0,0.0,7.0,-1.0,3.0,0.0,21.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,21-24,21/4/17,,,BMG,,,,,,,,,,,,,,Internet,,,,47.0,35.0,12.0,21.0,52.0,-31.0,,,,,,,,,,Are you satisfied or dissatisfied with the way X is doing his job as…,,,,,,,,,,,,,,,,,
,Apr,21-25,21/4/17,26,,Ipsos MORI,ES,49.0,6.0,26.0,-4.0,13.0,0.0,4.0,-2.0,1.0,-3.0,23.0,10.0,Phone,,,,56.0,37.0,19.0,27.0,62.0,-35.0,30.0,37.0,-7.0,21.0,50.0,-29.0,,,,Are you satisfied or dissatisfied with the way X is doing his job as…,61.0,23.0,,,Who do you think would make the most capable Prime Minister?,46.0,47.0,-1.0,Are you satisfied or dissatisfied with the way the Govt is running the country?,,,,,,,,
,Apr,25-26,25/4/17,27,,YouGov,TT,45.0,-3.0,29.0,4.0,10.0,-2.0,7.0,2.0,3.0,0.0,16.0,-7.0,Internet,,,,,,,,,,,,,,,,,,,,48.0,18.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,,
,Apr,25-28,25/4/17,29,,Opinium,Ob,47.0,2.0,30.0,4.0,8.0,-3.0,7.0,-2.0,3.0,0.0,17.0,-2.0,Internet,,,,48.0,31.0,17.0,21.0,52.0,-31.0,15.0,38.0,-23.0,11.0,45.0,-34.0,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,44.0,19.0,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,,,,,
,Apr,26-27,26/4/17,30,,ORB,STel ,42.0,-2.0,31.0,2.0,10.0,2.0,8.0,0.0,,,11.0,-4.0,Internet,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,27-28,27/4/17,30,,YouGov,ST,44.0,-1.0,31.0,2.0,11.0,1.0,6.0,-1.0,2.0,-1.0,13.0,-3.0,Internet,,,,50.0,39.0,11.0,18.0,70.0,-52.0,,,,,,,,,,Do you think that X is doing well or badly as Y?,45.0,16.0,6.0,2.0,Which of the following do you think would make the best PM?,35.0,43.0,-8.0,Do you approve or disapprove of the way the Govt is running the country?,,,,,,,,
,Apr,26-28,26/4/17,30,,ICM,Sun on Sunday,47.0,-1.0,28.0,1.0,9.0,-1.0,8.0,1.0,4.0,1.0,19.0,-2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,27-1,27/4/17,13,,Lord Ashcroft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,25.0,11.0,,Which of the following would make the best Prime Minister?,,,,,,,,,,,,
,Apr,27-2,27/4/17,3,,Kantar TNS,,48.0,2.0,24.0,0.0,11.0,0.0,7.0,-1.0,4.0,0.0,24.0,,Internet,,,,,,,,,,,,,,,,,,,,43.0,17.0,,,"If you had to choose between X and Y, who do you think would m ake the best leader for Britain?",,,,,,,,,,,,
,Apr,28-1,28/4/17,8,,Qriously,,44.0,,29.0,,9.0,,8.0,,4.0,,15.0,,Mobile,,,,,,,,,,,,,,,,,,,,42.0,17.0,,,"If you had to choose between Theresa May and Jeremy Corbyn, who do you think would make the best leader for Britain?",,,,,,,,,,,,
,Apr,28-2,28/4/17,2,,ICM,Gu,47.0,0.0,28.0,0.0,8.0,-1.0,8.0,0.0,4.0,0.0,19.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,28-2,28/4/17,3,,Panelbase,,47.0,-2.0,30.0,3.0,10.0,0.0,5.0,0.0,2.0,-1.0,17.0,-5.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,2-3,2/5/17,4,,YouGov,TT,48.0,4.0,29.0,-2.0,10.0,-1.0,5.0,-1.0,2.0,0.0,19.0,6.0,Internet,,,,,,,,,,,,,,,,,,,,49.0,21.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,,
,May,2-3,2/4/17,6,,Opinium,Ob,46.0,-1.0,30.0,0.0,9.0,1.0,7.0,0.0,2.0,-1.0,16.0,-1.0,Internet,,,,46.0,33.0,13.0,21.0,53.0,-32.0,14.0,39.0,-25.0,8.0,48.0,-40.0,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,46.0,18.0,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,,,,,
,May,3-4,3/5/17,7,,ORB,STel ,46.0,4.0,31.0,0.0,9.0,-1.0,8.0,0.0,,,15.0,4.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,3-5,3/5/17,7,,ICM,Sun on Sunday,46.0,-1.0,28.0,0.0,10.0,2.0,8.0,0.0,4.0,0.0,18.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,3-14,3/5/17,17,,GfK,18,48.0,7.0,28.0,0.0,7.0,0.0,5.0,-7.0,3.0,-3.0,20.0,7.0,Internet,,,,49.0,33.0,16.0,22.0,52.0,-30.0,19.0,30.0,-11.0,11.0,39.0,-28.0,,,,Do you approve or disapprove of the way X is handling his/her job as…,,,,,,41.0,37.0,4.0,Do you approve or disapprove of the way the Govt is running the country?,,,,,,,,
,May,4-5,4/5/17,7,,YouGov,ST,47.0,-1.0,28.0,-1.0,11.0,1.0,6.0,1.0,2.0,0.0,19.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,4-8,4/5/17,10,,Kantar TNS,,44.0,-4.0,28.0,4.0,11.0,0.0,8.0,1.0,5.0,1.0,16.0,-8.0,Internet,,,,,,,,,,,,,,,,,,,,40.0,17.0,,,"If you had to choose between X and Y, who do you think would m ake the best leader for Britain?",,,,,,,,,,,,
,May,5-6,5/5/17,9,,Survation,GMB,47.0,,30.0,,7.0,,5.0,,3.0,,17.0,,Phone,UK,,,,,,,,,,,,,,,,,,,60.0,21.0,,,Which of the following party leaders to you think would make the best PM?,,,,,,,,,,,,
,May,5-7,5/5/17,8,,ICM,Gu,49.0,3.0,27.0,-1.0,9.0,-1.0,6.0,-2.0,3.0,-1.0,22.0,4.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,5-9,5/5/17,10,,Panelbase,,48.0,1.0,31.0,1.0,8.0,-2.0,5.0,0.0,2.0,0.0,17.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,9-10,9/5/17,11,,YouGov,TT,46.0,-1.0,30.0,2.0,11.0,0.0,5.0,-1.0,2.0,0.0,16.0,-3.0,Internet,,,,,,,,,,,,,,,,,,,,49.0,21.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,,
,May,9-12,9/5/17,14,,Opinium,Ob,47.0,1.0,32.0,2.0,8.0,-1.0,5.0,-2.0,2.0,0.0,15.0,-1.0,Internet,,,,47.0,32.0,15.0,23.0,51.0,-28.0,16.0,37.0,-21.0,9.0,47.0,-38.0,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,45.0,19.0,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,,,,,
,May,10-11,10/5/17,14,,ORB,STel  ,46.0,0.0,32.0,1.0,8.0,-1.0,6.0,-2.0,,,14.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,10-12,10/5/17,14,,ComRes,IoS/SM,48.0,-2.0,30.0,5.0,10.0,-1.0,5.0,-2.0,3.0,0.0,18.0,-7.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,11-12,11/5/17,14,,YouGov,ST,49.0,3.0,31.0,1.0,9.0,-2.0,3.0,-2.0,2.0,0.0,18.0,2.0,Internet,,,,51.0,33.0,18.0,21.0,63.0,-42.0,20.0,42.0,-22.0,,,,,,,Do you think that X is doing well or badly as Y?,,,,,,,,,,,,,,,,,
,May,11-15,11/5/17,18,,Kantar TNS,,47.0,3.0,29.0,1.0,8.0,-3.0,6.0,-2.0,4.0,2.0,18.0,2.0,Internet,,,,,,,,,,,,,,,,,,,,41.0,18.0,,,"If you had to choose between X and Y, who do you think would m ake the best leader for Britain?",,,,,,,,,,,,
,May,12-13,12/5/17,15,,Survation,GMB,48.0,1.0,30.0,0.0,8.0,1.0,4.0,-1.0,2.0,-1.0,18.0,1.0,Phone,UK,,,,,,,,,,,,,,,,,,,58.0,24.0,,,Which of the following party leaders to you think would make the best PM?,,,,,,,,,,,,
,May,12-14,12/5/17,15,,ICM,Gu,48.0,-1.0,28.0,1.0,10.0,1.0,6.0,0.0,3.0,0.0,20.0,-2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,12-15,12/5/17,18,,Panelbase,,47.0,-1.0,33.0,2.0,7.0,-1.0,5.0,0.0,3.0,1.0,14.0,-3.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,16-17,16/5/17,18,,YouGov,TT,45.0,-4.0,32.0,1.0,8.0,-1.0,6.0,3.0,2.0,0.0,13.0,-5.0,Internet,,,,,,,,,,,,,,,,,,,,46.0,23.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,,
,May,15-17,15/5/17,18,,Ipsos MORI,ES,49.0,0.0,34.0,8.0,7.0,-6.0,2.0,-2.0,3.0,2.0,15.0,-8.0,Phone,,,,55.0,35.0,20.0,31.0,58.0,-27.0,28.0,39.0,-11.0,17.0,54.0,-37.0,,,,Are you satisfied or dissatisfied with the way X is doing his job as…,56.0,29.0,,,Who do you think would make the most capable Prime Minister?,45.0,49.0,-4.0,Are you satisfied or dissatisfied with the way the Govt is running the country?,,,,,,,,
,May,16-17,16/5/17,20,,Opinium,Ob,46.0,-1.0,33.0,1.0,8.0,0.0,5.0,0.0,2.0,0.0,13.0,-2.0,Internet,,,,48.0,31.0,17.0,27.0,45.0,-18.0,16.0,37.0,-21.0,10.0,46.0,-36.0,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,45.0,22.0,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,,,,,
,May,17-18,17/5/17,20,,ORB,STel  ,46.0,0.0,34.0,2.0,7.0,-1.0,7.0,1.0,,,12.0,-2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,18-19,18/5/17,21,,YouGov,ST,44.0,-1.0,35.0,3.0,9.0,1.0,3.0,-3.0,2.0,0.0,9.0,-4.0,Internet,,,,52.0,37.0,15.0,25.0,60.0,-35.0,20.0,46.0,-26.0,,,,,,,Do you think that X is doing well or badly as Y?,,,,,,,,,,,,,,,,,
,May,18-22,18/5/17,26,,Kantar TNS,,42.0,-5.0,34.0,5.0,9.0,1.0,4.0,-2.0,3.0,-1.0,8.0,-10.0,Internet,,,,,,,,,,,,,,,,,,,,38.0,24.0,,,"If you had to choose between X and Y, who do you think would m ake the best leader for Britain?",,,,,,,,,,,,
,May,19-20,19/5/17,21,,Survation,MoS,46.0,6.0,34.0,5.0,8.0,-3.0,3.0,-8.0,1.0,-1.0,12.0,1.0,Internet,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,19-20,19/5/17,22,,Survation,GMB,43.0,-5.0,34.0,4.0,8.0,0.0,4.0,0.0,2.0,0.0,9.0,-9.0,Phone,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,19-21,19/5/17,22,,ICM,Gu,47.0,-1.0,33.0,5.0,9.0,-1.0,4.0,-2.0,2.0,-1.0,14.0,-6.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,19-22,19/5/17,,,BMG,,,,,,,,,,,,,,Internet,,,,44.0,41.0,3.0,31.0,48.0,-17.0,,,,,,,,,,Are you satisfied or dissatisfied with the way X is doing his job as…,,,,,,,,,,,,,,,,,
,May,19-23,19/5/17,31,,Panelbase,,48.0,1.0,33.0,0.0,7.0,0.0,4.0,-1.0,2.0,-1.0,15.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,22-23,22/5/17,,,YouGov,,,,,,,,,,,,,,,,,,39.0,46.0,-7.0,37.0,48.0,-11.0,20.0,46.0,-26.0,8.0,51.0,-43.0,,,,Do you have a favourable or unfavourable opinion of…,,,,,,,,,,,,,,,,,
,May,23-24,23/5/17,27,,Opinium,Ob,45.0,-1.0,35.0,2.0,7.0,-1.0,5.0,0.0,2.0,0.0,10.0,-3.0,Internet,,,,45.0,34.0,11.0,31.0,42.0,-11.0,17.0,40.0,-23.0,11.0,47.0,-36.0,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,43.0,26.0,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,,,,,
,May,24-25,24/5/17,26,,YouGov,TT,43.0,-1.0,38.0,3.0,10.0,1.0,4.0,1.0,1.0,-1.0,5.0,-4.0,Internet,,,,44.0,43.0,1.0,35.0,51.0,-16.0,19.0,48.0,-29.0,8.0,54.0,-46.0,,,,Do you have a favourable or unfavourable opinion of…,45.0,28.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,,
,May,24-25,24/5/17,26,,SurveyMonkey,Sun  ,44.0,,36.0,,6.0,,5.0,,1.0,,8.0,,Internet,,,,52.0,47.0,5.0,,,,,,,,,,,,,Are you satisfied or disastified with the way X is doing his/her job as Y?,59.0,37.0,,,"Between the two, who do you think would be the better PM?",,,,,,,,,,,,
,May,24-25,24/5/17,27,,ORB,STel  ,44.0,-2.0,38.0,4.0,7.0,0.0,5.0,-2.0,,,6.0,-6.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,24-26,24/5/17,27,,ICM,Sun on Sunday,46.0,-1.0,32.0,-1.0,8.0,-1.0,5.0,1.0,2.0,0.0,14.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,48.0,27.0,,,Which one of the following would make the best PM?,,,,,,,,,,,,
