Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,Con lead,,,,,,
,Nov,9-14,,Gallup,DT,45.5,0.5,42.0,-3.0,8.5,0.5,3.5,3.5,,,,,
,Nov,,16,NOP,DM,42.5,-3.0,48.5,4.4,6.2,-0.8,-6.0,-7.4,,,,,
,Nov,,23,NOP,DM,46.7,4.2,44.3,-4.2,6.2,0.0,2.4,8.4,,,,,
,Nov,,30,NOP,DM,43.2,-3.5,47.5,3.2,6.3,0.1,-4.3,-6.7,,,,,
,Dec,,7,NOP,DM,44.6,1.4,44.1,-3.4,7.5,1.2,0.5,4.8,,,,,
,Dec,7-12,,Gallup,DT,44.0,-1.5,44.5,2.5,8.0,-0.5,-0.5,-4.0,,,,,
,Dec,,14,NOP,DM,40.8,-3.8,48.8,4.7,7.0,-0.5,-8.0,-8.5,,,,,
1978,Jan,11-16,,Gallup,DT,43.5,-0.5,43.5,-1.0,8.5,0.5,0.0,0.5,,,,,
,Jan,15-18,,NOP,DM,44.0,3.2,45.5,-3.3,7.5,0.5,-1.5,6.5,,,,,
,Jan,,,MORI,,,,,,,,1.0,0.0,,,,,
,Feb,4-7,,NOP,DM,50.0,6.0,39.0,-6.5,7.0,-0.5,11.0,12.5,,,,,
,Feb,8-13,,Gallup,DT,48.0,4.5,39.0,-4.5,9.0,0.5,9.0,9.0,,,,,
,Feb,,15,NOP,DM,45.3,-4.7,44.6,5.6,7.1,0.1,0.7,-10.3,,,,,
,Mar,,8,NOP,DM,44.6,-0.7,45.6,1.0,7.3,0.2,-1.0,-1.7,,,,,
,Mar,15-20,,Gallup,DT,48.0,0.0,41.0,2.0,8.0,-1.0,7.0,-2.0,,,,,
,Apr,,12,NOP,DM,46.2,1.6,44.5,-1.1,6.6,-0.7,1.7,2.7,,,,,
,Apr,12-13,,MORI,DE,46.0,,44.0,,7.0,,2.0,1.0,,,,,
,Apr,13-17,,Gallup,DT,45.5,-2.5,43.5,2.5,7.5,-0.5,2.0,-5.0,,,,,
,May,,9,NOP,DM,43.1,-3.1,48.0,3.5,7.0,0.4,-4.9,-6.6,,,,,
,May,11-15,,Gallup,DT,43.5,-2.0,43.5,0.0,8.5,1.0,0.0,-2.0,,,,,
,May,24,,MORI,DE,45.0,-1.0,46.0,2.0,6.0,-1.0,-1.0,-3.0,,,,,
,Jun,7-12,,Gallup,DT,45.5,2.0,45.5,2.0,6.0,-2.5,0.0,0.0,,,,,
,Jun,,14,NOP,DM,49.1,6.0,42.3,-5.7,6.3,-0.7,6.8,11.7,,,,,
