Year,Month,Fieldwork,,Published,Polling,Publisher,Con,,M,F,Net,Lab,,M,F,Net,LD,,M,F,Net,Con lead,,,,,Media:,BPC mbr 5,2.1  5,2.2  5,Change  5/10,Stat sig  5,Penalty -5 each,Score,Leader:,Con good,Con bad,Con net,Lab good,Lab bad,Lab net,LD good,LD bad,LD net,Question,,MORI LD,YouGov LD,ICM LD,Populus LD,ComRes LD
,Nov,26-28,26/11/07,30,YouGov,DT,43.0,2.0,41,45,-4,32.0,0.0,33,31,2,14.0,0.0,14,13,1,11.0,2.0,Internet,,,,,,,,,,,,43.0,35.0,8.0,23.0,59.0,-36.0,,,,Do you think (name) is or is not proving a good leader of X / Are you satisfied or dissatisfied with Z as PM?,, ,14.0, , , 
,Nov,28-29,28/11/07,2,ICM,NOTW,41.0,4.0,,,,30.0,-1.0,,,,19.0,-2.0,,,,11.0,5.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , ,19.0, , 
,Nov,29-7,29/11/07,11,MORI,,42.0,2.0,43,41,2,35.0,-6.0,33,37,-4,14.0,1.0,13,15,-2,7.0,8.0,F2F,Certain to vote,,,,,,,,,,,39.0,33.0,6.0,31.0,54.0,-23.0,,,,Are you satisfied or dissatisfied with the way X is doing his job as Y?,,14.0, , , , 
,Dec,7-9,7/12/07,11,Populus,TT,40.0,4.0,,,,32.0,-5.0,,,,16.0,0.0,,,,8.0,9.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , , ,16.0, 
,Dec,13-14,13/12/07,16,YouGov,ST,45.0,2.0,40,49,-9,32.0,0.0,34,29,5,14.0,0.0,14,14,0,13.0,2.0,Internet,,,,,,,,,,,,53.0,33.0,20.0,32.0,58.0,-26.0,,,,Do you think (name) is doing well or badly as (position)?,, ,14.0, , , 
,Dec,14-16,14/12/07,24,ComRes,Ind,41.0,1.0,42,41,1,30.0,3.0,29,32,-3,16.0,-2.0,16,16,0,11.0,-2.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , , , ,16.0
,Dec,17-19,17/12/07,21,YouGov,DT,43.0,-2.0,42,44,-2,31.0,-1.0,32,30,2,16.0,2.0,14,17,-3,12.0,-1.0,Internet,,,,,,,,,,,,47.0,30.0,17.0,24.0,60.0,-36.0,,,,Do you think (name) is or is not proving a good leader of X / Are you satisfied or dissatisfied with Z as PM?,, ,16.0, , , 
,Dec,18-19,18/12/07,,ICM,GU,39.0,-2.0,,,,34.0,4.0,,,,18.0,-1.0,,,,5.0,-6.0,Phone,,,,,,,,,,,,34,,,33,,,5,,,Who would make the best PM?,, , ,18.0, , 
,Dec,20-27,20/12/07,30,YouGov,ST,40.0,-3.0,40,41,-1,35.0,4.0,36,33,3,15.0,-1.0,14,16,-2,5.0,-7.0,Internet,,,,,,,,,,,,54.0,32.0,22.0,34.0,58.0,-24.0,,,,Do you think (name) is doing well or badly as (position)?,, ,15.0, , , 
2008,Jan,4-6,4/1/08,8,Populus,TT,37.0,-3.0,,,,33.0,1.0,,,,19.0,3.0,,,,4.0,-4.0,Phone,,,,,,,,,,,,,,5.07,,,4.60,,,4.40,How good a leader (on a 10-point scale) is…,, , , ,19.0, 
,Jan,9-10,9/1/08,12,MORI,Sun,42.0,1.0,42,43,-1,32.0,0.0,34,30,4,15.0,-2.0,13,17,-4,10.0,1.0,Phone,Certain to vote,,,,,,,,,,,,,,,,,,,,,,15.0, , , , 
,Jan,9-10,9/1/08,13,ICM,STel,40.0,1.0,,,,33.0,-1.0,,,,18.0,0.0,,,,7.0,2.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , ,18.0, , 
,Jan,10-11,10/1/08,13,YouGov,ST,43.0,3.0,41,45,-4,33.0,-2.0,33,32,1,14.0,-1.0,13,14,-1,10.0,5.0,Internet,,,,,,,,,,,,55.0,31.0,24.0,35.0,55.0,-20.0,,,,Do you think (name) is doing well or badly as (position)?,, ,14.0, , , 
,Jan,11-13,11/1/08,,MORI,,41.0,-1.0,45,36,9,32.0,0.0,30,33,-3,17.0,2.0,16,17,-1,9.0,-1.0,Phone,Certain to vote,,,,,,,,,,,,,,,,,,,,,,17.0, , , , 
,Jan,17-23,17/1/08,1,MORI,,37.0,-5.0,37,37,0,38.0,3.0,36,40,-4,16.0,2.0,17,16,1,-1.0,-8.0,F2F,Certain to vote,,,,,,,,,,,31.0,38.0,-7.0,32.0,48.0,-16.0,15.0,18.0,-3.0,Are you satisfied or dissatisfied with the way X is doing his job as Y?,,16.0, , , , 
,Jan,18-20,18/1/08,26,ICM,GU,37.0,-3.0,,,,35.0,2.0,,,,20.0,2.0,,,,2.0,-5.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , ,20.0, , 
,Jan,21-23,21/1/08,26,YouGov,DT,41.0,-2.0,40,42,-2,33.0,0.0,33,33,0,16.0,2.0,17,15,2,8.0,-2.0,Internet,,,,,,,,,,,,43.0,32.0,11.0,25.0,58.0,-33.0,,,,Do you think (name) is or is not proving a good leader of X / Are you satisfied or dissatisfied with Z as PM?,, ,16.0, , , 
,Jan,25-27,25/1/08,29,ComRes,Ind,38.0,-3.0,38,38,0,30.0,0.0,30,31,-1,17.0,1.0,16,18,-2,8.0,-3.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , , , ,17.0
,Jan,30-31,30/1/08,2,ICM,STel,37.0,0.0,,,,32.0,-3.0,,,,21.0,1.0,,,,5.0,3.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , ,21.0, , 
,Feb,1-3,1/2/08,4,Populus,TT,40.0,3.0,,,,31.0,-2.0,,,,17.0,-2.0,,,,9.0,5.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , , ,17.0, 
,Feb,8-11,8/2/08,,MORI,,42.0,1.0,43,41,2,33.0,1.0,31,34,-3,13.0,-4.0,13,14,-1,9.0,0.0,Phone,Certain to vote,,,,,,,,,,,,,,,,,,,,,,13.0, , , , 
,Feb,14-15,14/2/08,16,YouGov,ST,41.0,0.0,40,44,-4,32.0,-1.0,33,30,3,16.0,0.0,15,15,0,9.0,1.0,Internet,,,,,,,,,,,,51.0,37.0,14.0,36.0,57.0,-21.0,27.0,25.0,2.0,Do you think (name) is doing well or badly as (position)?,, ,16.0, , , 
,Feb,15-17,15/2/08,20,ICM,GU,37.0,0.0,,,,34.0,2.0,,,,21.0,0.0,,,,3.0,-2.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , ,21.0, , 
,Feb,18-20,18/2/08,22,YouGov,Econ,40.0,-1.0,37,43,-6,34.0,2.0,34,34,0,16.0,0.0,16,15,1,6.0,-3.0,Internet,,,,,,,,,,,,,,,,,,,,,,, ,16.0, , , 
,Feb,21-26,21/2/08,,MORI,,39.0,2.0,39,38,1,37.0,-1.0,35,40,-5,16.0,0.0,17,14,3,2.0,3.0,F2F,Certain to vote,,,,,,,,,,,35.0,35.0,0.0,31.0,55.0,-24.0,19.0,22.0,-3.0,Are you satisfied or dissatisfied with the way X is doing his job as Y?,,16.0, , , , 
,Feb,22-24,22/2/08,26,ComRes,Ind,41.0,3.0,41,41,0,30.0,0.0,26,33,-7,17.0,0.0,19,16,3,11.0,3.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , , , ,17.0
,Feb,25-27,25/2/08,1,YouGov,DT,40.0,0.0,38,43,-5,33.0,-1.0,33,34,-1,16.0,0.0,17,15,2,7.0,1.0,Internet,,,,,,,,,,,,39.0,37.0,2.0,25.0,59.0,-34.0,,,,Do you think (name) is or is not proving a good leader of X / Are you satisfied or dissatisfied with Z as PM?,, ,16.0, , , 
,Mar,7-9,7/3/08,11,Populus,TT,37.0,-3.0,,,,34.0,3.0,,,,19.0,2.0,,,,3.0,-6.0,Phone,,,,,,,,,,,,,,5.23,,,4.59,,,4.16,How good a leader (on a 10-point scale) is…,, , , ,19.0, 
,Mar,7-9,7/3/08,,MORI,,41.0,-1.0,44,39,5,32.0,0.0,27,35,-8,15.0,0.0,15,16,-1,9.0,-1.0,Phone,Certain to vote,,,,,,,,,,,,,,,,,,,,,,15.0, , , , 
,Mar,12-13,14/3/08,16,ICM,NOTW,40.0,3.0,,,,31.0,-3.0,,,,20.0,-1.0,,,,9.0,6.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , ,20.0, , 
,Mar,13-14,13/3/08,16,YouGov,ST,43.0,3.0,42,45,-3,27.0,-6.0,27,28,-1,16.0,0.0,17,15,2,16.0,9.0,Internet,,,,,,,,,,,,51.0,24.0,27.0,33.0,59.0,-26.0,29.0,35.0,-6.0,Do you think (name) is doing well or badly as (position)?,, ,16.0, , , 
,Mar,13-18,13/3/08,1,MORI,,40.0,1.0,43,37,6,35.0,-2.0,34,36,-2,18.0,2.0,16,20,-4,5.0,3.0,F2F,Certain to vote,,,,,,,,,,,38.0,34.0,4.0,27.0,58.0,-31.0,19.0,26.0,-7.0,Are you satisfied or dissatisfied with the way X is doing his job as Y?,,18.0, , , , 
,Mar,14-16,14/3/08,18,ICM,GU,42.0,2.0,,,,29.0,-2.0,,,,21.0,1.0,,,,13.0,4.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , ,21.0, , 
,Mar,25-27,25/3/08,28,YouGov,DT,43.0,0.0,42,44,-2,29.0,2.0,28,30,-2,17.0,1.0,17,16,1,14.0,-2.0,Internet,,,,,,,,,,,,44.0,34.0,10.0,23.0,63.0,-40.0,,,,Do you think (name) is or is not proving a good leader of X / Are you satisfied or dissatisfied with Z as PM?,, ,17.0, , , 
,Mar,28-30,28/3/08,1,ComRes,Ind,38.0,-3.0,36,39,-3,31.0,1.0,31,31,0,17.0,0.0,17,17,0,7.0,-4.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , , , ,17.0
,Apr,2-3,2/4/08,6,ICM,STel,43.0,1.0,,,,32.0,3.0,,,,18.0,-3.0,,,,11.0,-2.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , ,18.0, , 
,Apr,4-6,4/4/08,8,Populus,TT,39.0,2.0,,,,33.0,-1.0,,,,17.0,-2.0,,,,6.0,3.0,Phone,,,,,,,,,,,,,,4.96,,,4.50,,,4.27,How good a leader (on a 10-point scale) is…,, , , ,17.0, 
,Apr,10-11,10/4/08,13,YouGov,ST,44.0,1.0,42,47,-5,28.0,-1.0,29,27,2,17.0,0.0,18,16,2,16.0,2.0,Internet,,,,,,,,,,,,51.0,38.0,13.0,28.0,65.0,-37.0,26.0,35.0,-9.0,Do you think (name) is doing well or badly as (position)?,, ,17.0, , , 
,Apr,16-17,16/4/08,20,Populus,SMirror,40.0,1.0,,,,30.0,-3.0,,,,19.0,2.0,,,,10.0,4.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , , ,19.0, 
,Apr,18-20,18/4/08,21,ICM,GU,39.0,-4.0,,,,34.0,2.0,,,,19.0,1.0,,,,5.0,-6.0,Phone,,,,,,,,,,,,37,,,29,,,8,,,Who would make the best PM?,, , ,19.0, , 
,Apr,18-20,18/4/08,,MORI,,38.0,-3.0,40,36,4,32.0,0.0,28,37,-9,17.0,2.0,17,17,0,6.0,-3.0,Phone,Certain to vote,,,,,,,,,,,,,,,,,,,,,,17.0, , , , 
,Apr,21-23,21/4/08,24,YouGov,DT,44.0,0.0,44,45,-1,26.0,-2.0,25,26,-1,17.0,0.0,16,19,-3,18.0,2.0,Internet,,,,,,,,,,,,42.0,33.0,9.0,17.0,70.0,-53.0,,,,Do you think (name) is or is not proving a good leader of X / Are you satisfied or dissatisfied with Z as PM?,, ,17.0, , , 
,Apr,17-22,17/4/08,27,MORI,OB,40.0,0.0,39,42,-3,31.0,-4.0,33,29,4,19.0,1.0,18,20,-2,9.0,4.0,F2F,Certain to vote,,,,,,,,,,,35.0,33.0,2.0,23.0,61.0,-38.0,20.0,25.0,-5.0,Are you satisfied or dissatisfied with the way X is doing his job as Y?,,19.0, , , , 
,Apr,23-24,23/4/08,27,ICM,STel,39.0,0.0,,,,29.0,-5.0,,,,20.0,1.0,,,,10.0,5.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , ,20.0, , 
,Apr,25-27,25/4/08,29,ComRes,Ind,40.0,2.0,41,38,3,26.0,-5.0,25,27,-2,20.0,3.0,17,23,-6,14.0,7.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , , , ,20.0
,May,2-4,2/5/08,7,Populus,TT,40.0,0.0,,,,29.0,-1.0,,,,19.0,0.0,,,,11.0,1.0,Phone,,,,,,,,,,,,,,5.36,,,4.08,,,,,, , , ,19.0, 
,May,7-8,7/5/08,9,YouGov,Sun,49.0,5.0,49,50,-1,23.0,-3.0,24,22,2,17.0,0.0,15,19,-4,26.0,8.0,Internet,,,,,,,,,,,,,,,,,,,,,,, ,17.0, , , 
,May,15-16,15/5/08,18,YouGov,ST,45.0,-4.0,44,47,-3,25.0,2.0,27,24,3,18.0,1.0,17,19,-2,20.0,-6.0,Internet,,,,,,,,,,,,61.0,28.0,33.0,17.0,78.0,-61.0,36.0,29.0,7.0,Do you think (name) is doing well or badly as (position)?,, ,18.0, , , 
,May,14-15,14/5/08,18,ComRes,IoS,43.0,3.0,43,42,1,26.0,0.0,27,25,2,19.0,-1.0,18,20,-2,17.0,3.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , , , ,19.0
,May,15-18,15/5/08,,MORI,,41.0,3.0,42,40,2,28.0,-4.0,28,29,-1,20.0,3.0,18,22,-4,13.0,7.0,Phone,Certain to vote,,,,,,,,,,,,,,,,,,,,,,20.0, , , , 
,May,15-20,15/5/08,,MORI,,45.0,5.0,43,45,-2,32.0,1.0,31,32,-1,14.0,-5.0,13,16,-3,13.0,4.0,F2F,Certain to vote,,,,,,,,,,,40.0,31.0,9.0,23.0,67.0,-44.0,23.0,24.0,-1.0,Are you satisfied or dissatisfied with the way X is doing his job as Y?,,14.0, , , , 
,May,16-18,16/5/08,20,ICM,GU,41.0,2.0,,,,27.0,-2.0,,,,22.0,2.0,,,,14.0,4.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , ,22.0, , 
,May,27-29,27/5/08,30,YouGov,DT,47.0,2.0,45,49,-4,23.0,-2.0,23,23,0,18.0,0.0,19,17,2,24.0,4.0,Internet,,,,,,,,,,,,55.0,22.0,33.0,15.0,75.0,-60.0,,,,Do you think (name) is or is not proving a good leader of X / Are you satisfied or dissatisfied with Z as PM?,, ,18.0, , , 
,May,30-1,30/5/08,2,ComRes,Ind,44.0,1.0,42,45,-3,30.0,4.0,33,28,5,16.0,-3.0,16,17,-1,14.0,-3.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , , , ,16.0
,Jun ,4-5,4/6/08,8,ICM,STel,42.0,1.0,,,,26.0,-1.0,,,,21.0,-1.0,,,,16.0,2.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun ,6-8,6/6/08,10,Populus,TT,45.0,5.0,,,,25.0,-4.0,,,,20.0,1.0,,,,20.0,9.0,Phone,,,,,,,,,,,,,,5.25,,,3.90,,,,,,,,,,
,Jun ,11-12,11/6/08,15,ComRes,IoS,44.0,0.0,45,43,2,26.0,-4.0,25,28,-3,17.0,1.0,16,18,-2,18.0,4.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun ,12-13,12/6/08,15,YouGov,ST,47.0,0.0,48,47,1,25.0,2.0,26,23,3,18.0,0.0,16,20,-4,22.0,-2.0,Internet,,,,,,,,,,,,63.0,26.0,37.0,16.0,78.0,-62.0,35.0,29.0,6.0,Do you think (name) is doing well or badly as (position)?,,,18.0,,,
,Jun ,13-15,13/6/08,27,MORI,Ind,45.0,0.0,44,46,-2,28.0,-5.0,27,29,-2,16.0,2.0,17,15,2,17.0,4.0,Phone,Certain to vote,MORI moved monthly monitor from F2F to phone,,,,,,,,,,50.0,30.0,20.0,22.0,77.0,-55.0,33.0,24.0,9.0,Are you satisfied or dissatisfied with the way X is doing his job as Y?,,16.0,,,,
,Jun ,18-20,18/6/08,22,BPIX,MoS,49.0,,,,,26.0,,,,,14.0,,,,,23.0,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun ,20-22,20/6/08,25,ICM,GU,45.0,3.0,,,,25.0,-1.0,,,,20.0,-1.0,,,,20.0,4.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun ,23-25,23/6/08,27,YouGov,DT,46.0,-1.0,45,48,-3,28.0,3.0,30,25,5,15.0,-3.0,14,16,-2,18.0,-4.0,Internet,,,,,,,,,,,,52.0,28.0,24.0,14.0,76.0,-62.0,,,,Do you think (name) is or is not proving a good leader of X / Are you satisfied or dissatisfied with Z as PM?,,,15.0,,,
,Jun ,25-26,25/6/08,28,ComRes,Ind,46.0,2.0,46,46,0,25.0,-1.0,25,25,0,18.0,1.0,16,20,-4,21.0,3.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul  ,4-6,4/7/08,8,Populus,TT,41.0,-4.0,,,,28.0,3.0,,,,19.0,-1.0,,,,13.0,-7.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul  ,10-11,10/7/08,13,YouGov,ST,47.0,1.0,45,48,-3,25.0,-3.0,26,25,1,16.0,1.0,16,16,0,22.0,4.0,Internet,,,,,,,,,,,,61.0,28.0,33.0,19.0,77.0,-58.0,29.0,32.0,-3.0,Do you think (name) is doing well or badly as (position)?,,,,,,
,Jul  ,16-17,16/7/08,20,ComRes,IoS,45.0,-1.0,44,46,-2,24.0,-1.0,24,25,-1,16.0,-2.0,16,17,-1,21.0,0.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul  ,18-20,18/7/08,22,ICM,GU,43.0,-2.0,,,,28.0,3.0,,,,19.0,-1.0,,,,15.0,-5.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul  ,18-20,18/7/08,23,MORI,,47.0,2.0,47,46,1,27.0,-1.0,30,25,5,15.0,-1.0,13,18,-5,20.0,3.0,Phone,Certain to vote,,,,,,,,,,,50.0,29.0,21.0,21.0,72.0,-51.0,32.0,23.0,9.0,Are you satisfied or dissatisfied with the way X is doing his job as Y?,,15.0,,,,
,Jul  ,23-24,23/7/08,26,ComRes,Ind,46.0,1.0,46,46,0,24.0,0.0,24,24,0,18.0,2.0,18,19,-1,22.0,1.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul  ,23-25,23/7/08,28,YouGov,DT,45.0,-2.0,43,48,-5,26.0,1.0,29,24,5,17.0,1.0,16,18,-2,19.0,-3.0,Internet,,,,,,,,,,,,50.0,28.0,22.0,15.0,74.0,-59.0,,,,Do you think (name) is or is not proving a good leader of X / Are you satisfied or dissatisfied with Z as PM?,,,,,,
,Jul  ,25-27,25/7/08,29,Populus,TT,43.0,2.0,,,,27.0,-1.0,,,,18.0,-1.0,,,,16.0,3.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul  ,29-31,29/7/08,1,YouGov,DT,47.0,2.0,45,49,-4,25.0,-1.0,26,23,3,16.0,-1.0,15,18,-3,22.0,3.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul  ,31-2,31/7/08,3,BPIX,MoS,47.0,-2.0,,,,24.0,-2.0,,,,16.0,2.0,,,,23.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul  ,30-1,30/7/08,3,ICM,S Express,45.0,2.0,,,,29.0,1.0,,,,16.0,-3.0,,,,16.0,1.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,6-8,6/8/08,10,YouGov,NOTW,46.0,-1.0,46,46,0,26.0,1.0,26,26,0,17.0,1.0,16,17,-1,20.0,-2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,14-15,14/8/08,17,YouGov,ST,45.0,-1.0,42,47,-5,25.0,1.0,27,24,3,18.0,1.0,18,18,0,20.0,0.0,Internet,,,,,,,,,,,,59.0,27.0,32.0,20.0,75.0,-55.0,29.0,30.0,-1.0,Do you think (name) is doing well or badly as (position)?,,,,,,
,Aug,15-17,15/8/08,19,ICM,GU,44.0,-1.0,,,,29.0,0.0,,,,19.0,3.0,,,,15.0,-1.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,15-17,15/8/08,21,MORI,,48.0,1.0,45,50,-5,24.0,-3.0,28,21,7,16.0,1.0,14,19,-5,24.0,4.0,Phone,Certain to vote,,,,,,,,,,,51.0,29.0,22.0,24.0,71.0,-47.0,33.0,26.0,7.0,Are you satisfied or dissatisfied with the way X is doing his job as Y?,,,,,,
,Aug,19-21,19/8/08,,YouGov,Compass,48.0,3.0,43,52,-9,26.0,1.0,29,24,5,16.0,-2.0,17,15,2,22.0,2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,20-21,20/8/08,24,ComRes,IoS,46.0,0.0,52,41,11,25.0,1.0,24,26,-2,16.0,-2.0,13,19,-6,21.0,-1.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,26-27,29/8/08,29,YouGov,DT,45.0,-3.0,42,49,-7,26.0,0.0,28,25,3,16.0,0.0,17,15,2,19.0,-3.0,Internet,,,,,,,,,,,,48.0,27.0,21.0,17.0,72.0,-55.0,,,,Do you think (name) is or is not proving a good leader of X / Are you satisfied or dissatisfied with Z as PM?,,,,,,
,Aug,29-31,29/8/08,2,Populus,TT,43.0,0.0,,,,27.0,0.0,,,,18.0,0.0,,,,16.0,0.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,3-4,3/10/08,6,ComRes,Ind,44.0,-2.0,47,40,7,25.0,0.0,25,26,-1,17.0,1.0,16,19,-3,19.0,-2.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,10-12,10/9/08,14,YouGov,ST,46.0,1.0,43,49,-6,27.0,1.0,28,27,1,16.0,0.0,15,16,-1,19.0,0.0,Internet,,,,,,,,,,,,57.0,30.0,27.0,20.0,73.0,-53.0,29.0,32.0,-3.0,Do you think (name) is doing well or badly as (position)?,,,,,,
,Sep,12-14,12/9/08,18,MORI,,52.0,4.0,53,51,2,24.0,0.0,25,23,2,12.0,-5.0,11,13,-2,28.0,4.0,Phone,Certain to vote,,,,,,,,,,,48.0,32.0,16.0,24.0,69.0,-45.0,32.0,24.0,8.0,Are you satisfied or dissatisfied with the way X is doing his job as Y?,,,,,,
,Sep,17-18,17/9/08,21,ComRes,IoS,39.0,-5.0,39,40,-1,27.0,2.0,27,27,0,21.0,4.0,21,22,-1,12.0,-7.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,17-19,17/9/08,20,YouGov,DT,44.0,-2.0,43,45,-2,24.0,-3.0,23,25,-2,20.0,4.0,20,20,0,20.0,1.0,Internet,,,,,,,,,,,,52.0,26.0,26.0,16.0,74.0,-58.0,,,,Do you think (name) is or is not proving a good leader of X / Are you satisfied or dissatisfied with Z as PM?,,,,,,
,Sep,23-24,23/9/08,25,YouGov,Sun,41.0,-3.0,39,45,-6,31.0,7.0,35,28,7,16.0,-4.0,14,17,-3,10.0,-10.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,24-25,24/9/08,27,ICM,GU,41.0,-3.0,,,,32.0,3.0,,,,18.0,-1.0,,,,9.0,-6.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,24-26,24/9/08,28,BPIX,STel,43.0,-4.0,,,,31.0,7.0,,,,17.0,1.0,,,,12.0,-11.0,Internet,,,,,,,,,,,,,,21.0,,,-33.0,,,5.0,,,,,,,
,Sep,26-28,26/9/08,30,ComRes,Ind,41.0,2.0,45,37,8,29.0,2.0,26,31,-5,18.0,-3.0,17,19,-2,12.0,0.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,1-2,1/10/08,3,ICM,GU,42.0,1.0,,,,30.0,-2.0,,,,17.0,-1.0,,,,12.0,3.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,1-3,1/10/08,4,YouGov,DT,45.0,4.0,44,46,-2,31.0,0.0,32,31,1,15.0,-1.0,14,16,-2,14.0,4.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,3-5,3/10/08,7,Populus,TT,45.0,2.0,,,,30.0,3.0,,,,15.0,-3.0,,,,15.0,-1.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,9-10,9/10/08,12,YouGov,ST,43.0,-2.0,43,44,-1,33.0,2.0,33,33,0,14.0,-1.0,12,16,-4,10.0,-4.0,Internet,,,,,,,,,,,,58.0,32.0,26.0,31.0,65.0,-34.0,32.0,34.0,-2.0,Do you think (name) is doing well or badly as (position)?,,,,,,
,Oct,15-16,15/10/08,19,ComRes,IoS,40.0,-1.0,39,42,-3,31.0,2.0,28,34,-6,16.0,-2.0,16,16,0,9.0,-3.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,15-17,15/10/08,20,YouGov,Mirror,42.0,-1.0,41,43,-2,34.0,1.0,35,33,2,14.0,0.0,14,14,0,8.0,-2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,16-18,16/10/08,19,BPIX,MoS,46.0,3.0,,,,30.0,-1.0,,,,13.0,-4.0,,,,16.0,4.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,17-19,17/10/08,21,ICM,GU,42.0,0.0,,,,30.0,0.0,,,,21.0,4.0,,,,12.0,0.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,17-19,17/10/08,22,MORI,,45.0,-7.0,48,42,6,30.0,6.0,32,28,4,14.0,2.0,10,20,-10,15.0,-13.0,Phone,Certain to vote,,,,,,,,,,,49.0,34.0,15.0,35.0,59.0,-24.0,35.0,28.0,7.0,Are you satisfied or dissatisfied with the way X is doing his job as Y?,,,,,,
,Oct,24-26,28/10/08,28,ComRes,Ind,39.0,-1.0,40,38,2,31.0,0.0,30,31,-1,16.0,0.0,14,18,-4,8.0,-1.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,27-29,27/10/08,31,YouGov,DT,42.0,0.0,40,44,-4,33.0,-1.0,34,32,2,15.0,1.0,15,15,0,9.0,1.0,Internet,,,,,,,,,,,,44.0,31.0,13.0,25.0,63.0,-38.0,,,,Do you think (name) is or is not proving a good leader of X / Are you satisfied or dissatisfied with Z as PM?,,,,,,
,Oct,,31/10/08,2,BPIX,MoS,45.0,-1.0,,,,31.0,1.0,,,,13.0,0.0,,,,14.0,2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,5-6,5/11/08,9,ICM,STel,43.0,1.0,,,,30.0,0.0,,,,18.0,-3.0,,,,13.0,1.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,7-9,7/11/08,10,Populus,TT,41.0,-4.0,,,,35.0,5.0,,,,16.0,1.0,,,,6.0,-9.0,Phone,,,,,,,,,,,,,,4.94,,,5.04,,,4.08,How good a leader (on a 10-point scale) is…,,,,,,
,Nov,14-16,14/11/08,,MORI,,40.0,-5.0,43,38,5,37.0,7.0,37,38,-1,12.0,-2.0,11,14,-3,3.0,-12.0,Phone,Certain to vote,,,,,,,,,,,45.0,36.0,9.0,41.0,50.0,-9.0,34.0,25.0,9.0,Are you satisfied or dissatisfied with the way X is doing his job as Y?,,,,,,
,Nov,13-14/11,13/11/08,16,YouGov,ST,41.0,-1.0,39,43,-4,36.0,3.0,36,35,1,14.0,-1.0,13,14,-1,5.0,-4.0,Internet,,,,,,,,,,,,54.0,34.0,20.0,41.0,54.0,-13.0,31.0,32.0,-1.0,Do you think (name) is doing well or badly as (position)?,,,,,,
