Year,Month,Fieldwork,,Published,Polling,Publisher,Con,,M,F,Net,Lab,,M,F,Net,LD,,M,F,Net,Con lead,,,,,Media:,BPC mbr 5,2.1  5,2.2  5,Change  5/10,Stat sig  5,Penalty -5 each,Score,Leader:,Con good,Con bad,Con net,Lab good,Lab bad,Lab net,LD good,LD bad,LD net,Question,,MORI LD,YouGov LD,ICM LD,Populus LD,ComRes LD
,Apr,18-20,18/4/06,21,YouGov,DT,33.0,-3.0,32,34,-2,35.0,-1.0,35,35,0,17.0,-1.0,16,18,-2,-2.0,-2.0,Internet,BNP: 7%,,,,,,,,,,,,,,,,,,,,,, ,17.0, , , 
,Apr,20-22,20/4/06,26,MORI,Sun,30.0,-5.0,,,,30.0,-8.0,,,,25.0,5.0,,,,0.0,3.0,Phone,Certain to vote,,,,,,,,,,,,,,,,,,,,,,25.0, , , , 
,Apr,21-23,21/4/06,25,ICM,GU,34.0,-1.0,,,,32.0,-3.0,,,,24.0,3.0,,,,2.0,-2.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , ,24.0, , 
,Apr,27-28,27/4/06,30,YouGov,ST,35.0,2.0,32,39,-7,32.0,-3.0,33,32,1,18.0,1.0,17,18,-1,3.0,5.0,Internet,BNP: 6%,,,,,,,,,,,51.0,31.0,20.0,33.0,64.0,-31.0,31.0,32.0,-1.0,Do you think (name) is doing well or badly as (position)?,, ,18.0, , , 
,Apr,27-2,27/4/06,4,MORI,FT,36.0,2.0,,,,32.0,-7.0,,,,21.0,2.0,,,,4.0,9.0,F2F,Certain to vote,,,,,,,,,,,29.0,27.0,2.0,29.0,64.0,-35.0,26.0,20.0,6.0,Are you satisfied or dissatisfied with the way X is doing his job as Y?,,21.0, , , , 
,Apr,?-29,28/4/06,30,BPIX,MoS,35.0,-2.0,,,,32.0,-4.0,,,,19.0,2.0,,,,3.0,2.0,Internet,BNP: 5%,,,,,,,,,,,,,,,,,,,,,, , , , , 
,May,5-7,5/5/06,8,Populus,TT,38.0,4.0,,,,30.0,-6.0,,,,20.0,-1.0,,,,8.0,10.0,Phone,,,,,,,,,,,,,,5.11,,,4.72,,,4.70,How good a leader (on a 10-point scale) is…,, , , ,20.0, 
,May,8-9,8/5/06,10,YouGov,DT,37.0,2.0,36,38,-2,31.0,-1.0,33,30,3,17.0,-1.0,17,17,0,6.0,3.0,Internet,BNP: 6%,,,,,,,,,,,43.0,23.0,20.0,26.0,64.0,-38.0,18.0,42.0,-24.0,,, ,17.0, , , 
,May,19-21,19/5/06,24,ICM,GU,38.0,4.0,,,,34.0,2.0,,,,20.0,-4.0,,,,4.0,2.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , ,20.0, , 
,May,23-25,23/5/06,26,YouGov,DT,38.0,1.0,33,43,-10,32.0,1.0,36,28,8,16.0,-1.0,16,16,0,6.0,0.0,Internet,BNP: 4%,,,,,,,,,,,,,,,,,,,,,, ,16.0, , , 
,May,25-30,25/5/06,5,MORI,Sun,41.0,11.0,,,,31.0,1.0,,,,18.0,-7.0,,,,10.0,10.0,Phone,Certain to vote,,,,,,,,,,,33.0,27.0,6.0,26.0,67.0,-41.0,22.0,31.0,-9.0,Are you satisfied or dissatisfied with the way X is doing his job as Y?,,18.0, , , , 
,Jun,2-3,2/6/06,6,Populus,TT,37.0,-1.0,,,,34.0,4.0,,,,18.0,-2.0,,,,3.0,-5.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , , ,18.0, 
,Jun,8-12,8/6/06,18,MORI,OB,41.0,0.0,,,,34.0,3.0,,,,18.0,0.0,,,,7.0,-3.0,Phone,Certain to vote,,,,,,,,,,,,,,,,,,,,,,18.0, , , , 
,Jun,16-18,16/6/06,20,ICM,GU,37.0,-1.0,,,,32.0,-2.0,,,,21.0,1.0,,,,5.0,1.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , ,21.0, , 
,Jun,20-26,20/6/06,30,MORI,,36.0,0.0,,,,33.0,1.0,,,,21.0,0.0,,,,3.0,-1.0,F2F,Certain to vote,,,,,,,,,,,32.0,28.0,4.0,32.0,60.0,-28.0,22.0,28.0,-6.0,Are you satisfied or dissatisfied with the way X is doing his job as Y?,,21.0, , , , 
,Jun,21-23,21/6/06,26,YouGov,DT,39.0,1.0,38,41,-3,32.0,0.0,35,30,5,17.0,1.0,15,19,-4,7.0,1.0,Internet,,,,,,,,,,,,,,,27.0,64.0,-37.0,16.0,39.0,-23.0,Do you think (name) is or is not proving a good leader of X / Are you satisfied or dissatisfied with Z as PM?,, ,17.0, , , 
,Jun,26-28,26/6/06,30,YouGov,DT,39.0,0.0,36,42,-6,33.0,1.0,35,31,4,18.0,1.0,18,17,1,6.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,,,, ,18.0, , , 
,Jun,28-29,28/6/06,2,ICM,STel,36.0,-1.0,,,,35.0,3.0,,,,18.0,-3.0,,,,1.0,-4.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , ,18.0, , 
,Jul,6-8,6/7/06,9,BPIX,MoS,41.0,6.0,,,,31.0,-1.0,,,,15.0,-4.0,,,,10.0,7.0,Internet,,,,,,,,,,,,,,,,,,,,,,, , , , , 
,Jul,7-9,7/7/06,11,Populus,TT,36.0,-1.0,,,,34.0,0.0,,,,19.0,1.0,,,,2.0,-1.0,Phone,,,,,,,,,,,,,,4.98,,,4.21,,,4.50,How good a leader (on a 10-point scale) is…,, , , ,19.0, 
,Jul,20-24,20/7/06,31,MORI,FT,36.0,0.0,,,,32.0,-1.0,,,,24.0,3.0,,,,4.0,-1.0,F2F,Certain to vote,,,,,,,,,,,29.0,31.0,-2.0,23.0,67.0,-44.0,22.0,28.0,-6.0,Are you satisfied or dissatisfied with the way X is doing his job as Y?,,24.0, , , , 
,Jul,21-23,21/7/06,27,ICM,GU,39.0,3.0,,,,35.0,0.0,,,,17.0,-1.0,,,,4.0,3.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , ,17.0, , 
,Jul,24-26,24/7/06,28,YouGov,DT,38.0,-1.0,36,39,-3,33.0,0.0,32,34,-2,18.0,0.0,19,18,1,5.0,-1.0,Internet,,,,,,,,,,,,35.0,33.0,2.0,27.0,63.0,-36.0,,,,Do you think (name) is or is not proving a good leader of X / Are you satisfied or dissatisfied with Z as PM?,, ,18.0, , , 
,Aug,18-20,18/8/06,22,ICM,GU,40.0,1.0,,,,31.0,-4.0,,,,22.0,5.0,,,,9.0,4.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , ,22.0, , 
,Aug,22-24,22/8/06,26,YouGov,DT,38.0,0.0,,,,31.0,-2.0,,,,18.0,0.0,,,,7.0,2.0,Internet,,,,,,,,,,,,,,,,,,,,,,, ,18.0, , , 
,Sep,1-3,1/9/06,5,Populus,TT,36.0,0.0,,,,32.0,-2.0,,,,20.0,1.0,,,,4.0,2.0,Phone,,,,,,,,,,,,,,5.20,,,4.63,,,4.47,How good a leader (on a 10-point scale) is…,, , , ,20.0, 
,Sep,31-6,31/8/06,14,MORI,ST,35.0,-1.0,,,,36.0,4.0,,,,19.0,-5.0,,,,-1.0,-5.0,F2F,Certain to vote,,,,,,,,,,,30.0,28.0,2.0,26.0,66.0,-40.0,22.0,28.0,-6.0,Are you satisfied or dissatisfied with the way X is doing his job as Y?,,19.0, , , , 
,Sep,6-7,6/9/06,8,YouGov,DT,40.0,2.0,40,40,0,32.0,0.0,32,32,0,17.0,-1.0,16,19,-3,8.0,2.0,Internet,,,,,,,,,,,,,,,,,,,,,,, ,17.0, , , 
,Sep,?-9,8/9/06,10,BPIX,MoS,40.0,-1.0,,,,30.0,-1.0,,,,14.0,-1.0,,,,10.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,, , , , , 
,Sep,13-14,13/9/06,15,YouGov,Sun,38.0,-2.0,37,39,-2,31.0,-1.0,32,29,3,18.0,1.0,17,18,-1,7.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,,,, ,18.0, , , 
,Sep,13-14,13/9/06,17,ICM,SMirror,37.0,-3.0,,,,33.0,2.0,,,,21.0,-1.0,,,,4.0,-5.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , ,21.0, , 
,Sep,19-20,19/9/06,22,ICM,GU,36.0,-1.0,,,,32.0,-1.0,,,,22.0,1.0,,,,4.0,0.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , ,22.0, , 
,Sep,19-22,19/9/06,25,YouGov,DT,38.0,0.0,36,41,-5,31.0,0.0,33,29,4,18.0,0.0,18,18,0,7.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,, ,18.0, , , 
