,,Government,,,Prime Minister,,,,Opposition leader,,,,LibDem leader,,,,Best econ,,,Trust,,,,,,,,,,,,
,,Approval,Disapproval,,Good job,Bad job,,Best PM,Good job,Bad job,,Best PM,Good job,Bad job,,Best PM,Con,Lab,,Yes,No,,,,,,,,,,,
,S,11.9,79.5,-67.6,19.4,73.7,-54.3,16.7,44.2,34.5,9.7,29.8,62.9,20.7,42.2,24.5,24.7,41.5,-16.8,,,,,,,,,,,,,
,O,13.1,77.3,-64.2,22.6,70.2,-47.6,19.1,53.1,27.5,25.6,31.3,60.3,22.7,37.6,21.0,26.7,41.1,-14.4,,,,,,,,,,,,,
,N,12.3,78.9,-66.6,20.2,73.3,-53.1,17.6,49.6,29.6,20.0,32.0,57.8,24.1,33.7,21.7,24.8,40.6,-15.8,,,,,,,,,,,,,
,D,14.0,76.5,-62.5,22.9,70.2,-47.3,19.3,50.1,30.6,19.5,31.5,57.4,24.5,32.9,20.0,26.6,41.4,-14.8,,,,,,,,,,,,,
1994,J,13.8,77.2,-63.4,21.6,71.9,-50.3,17.8,50.5,30.0,20.5,34.0,56.6,24.1,32.5,20.1,24.6,43.3,-18.7,,,,,,,,,,,,,
,F,14.0,77.3,-63.3,23.2,70.5,-47.3,19.2,52.5,29.8,22.7,34.2,59.1,23.1,36.0,20.5,25.2,43.1,-17.9,,,,,,,,,,,,,
,M,13.9,76.6,-62.7,22.5,70.6,-48.1,19.0,50.3,28.8,21.5,30.8,54.6,23.6,31.0,19.3,24.2,42.5,-18.3,,,,,,,,,,,,,
,A,12.0,78.9,-66.9,19.3,73.9,-54.6,15.2,48.5,31.1,17.4,32.2,56.9,24.7,32.2,21.1,23.6,42.8,-19.2,,43,23,,,,,,,,,,
,M,11.1,79.5,-68.4,18.6,74.3,-55.7,,,,,,59.4,21.3,38.1,,22.5,43.4,-20.9,,,,,,,,,,,,,
,J,10.7,78.9,-68.2,18.8,73.8,-55.0,,,,,,53.8,23.5,30.3,,22.4,46.8,-24.4,,,,,,,,,,,,,
Blair,J,11.3,78.3,-67.0,19.6,73.4,-53.8,15.0,50.0,17.0,33.0,45.0,56.6,23.2,33.4,15.0,21.5,47.2,-25.7,,,,,,,,,,,,,
,A,11.9,77.9,-66.0,19.7,73.0,-53.3,15.6,58.3,13.5,44.8,41.5,55.5,24.1,31.4,14.5,21.0,49.1,-28.1,,,,,,,,,,,,,
,S,12.4,77.1,-64.7,21.2,71.7,-50.5,16.5,46.3,14.0,32.3,39.4,53.2,27.4,25.8,14.7,22.0,48.0,-26.0,,,,,,,,,,,,,
,O,12.7,76.4,-63.7,21.9,70.2,-48.3,17.2,50.6,15.4,35.2,40.8,50.6,28.9,21.7,13.7,21.4,48.2,-26.8,,,,,,,,,,,,,
,N,11.1,78.1,-67.0,21.3,71.4,-50.1,15.9,49.6,16.6,33.0,40.4,50.1,28.4,21.7,12.8,20.8,48.1,-27.3,,,,,,,,,,,,,
,D,9.7,81.1,-71.4,18.1,75.5,-57.4,13.8,55.3,17.0,38.3,43.9,50.8,28.4,22.4,13.2,18.8,51.3,-32.5,,,,,,,,,,,,,
1995,J,10.5,80.0,-69.5,18.4,74.6,-56.2,14.7,56.2,18.1,38.1,43.5,51.8,26.6,25.2,12.5,20.5,49.5,-29.0,,,,,,,,,,,,,
,F,10.5,80.0,-69.5,19.1,74.1,-55.0,14.8,58.0,18.5,39.5,43.4,51.6,26.4,25.2,12.9,19.9,49.2,-29.3,,,,,,,,,,,,,
,M,11.2,78.6,-67.4,20.8,71.7,-50.9,15.5,58.5,18.5,40.0,42.5,50.6,26.9,23.7,12.3,20.3,46.9,-26.6,,,,,,,,,,,,,
,A,11.5,79.0,-67.5,20.6,71.9,-51.3,15.3,60.6,18.2,42.4,42.0,52.3,25.5,26.8,13.8,21.2,47.9,-26.7,,,,,,,,,,,,,
,M,10.4,79.3,-68.9,20.5,72.2,-51.7,14.7,64.7,15.8,48.9,44.1,55.1,23.2,31.9,12.7,20.1,50.4,-30.3,,,,,,,,,,,,,
,J,11.9,77.8,-65.9,21.8,70.6,-48.8,15.7,65.8,14.8,51.0,46.0,53.4,24.5,28.9,11.5,20.3,50.1,-29.8,,,,,,,,,,,,,
,J,13.9,74.4,-60.5,26.4,64.7,-38.3,20.8,62.4,18.2,44.2,41.8,50.7,26.0,24.7,10.8,23.9,46.8,-22.9,,,,,,,,,,,,,
,A,13.8,74.4,-60.6,25.6,66.4,-40.8,18.5,58.8,21.0,37.8,39.4,53.6,24.0,29.6,13.0,24.0,45.0,-21.0,,,,,,,,,,,,,
,S,13.2,75.6,-62.4,25.7,66.3,-40.6,19.4,55.5,23.6,31.9,38.7,54.2,23.4,30.8,13.5,25.0,44.9,-19.9,,,,,,,,,,,,,
,O,14.7,73.9,-59.2,25.3,67.3,-42.0,18.8,63.1,19.2,43.9,42.6,53.7,24.4,29.3,12.9,23.7,48.8,-25.1,,,,,,,,,,,,,
,N,13.5,74.2,-60.7,25.1,66.8,-41.7,17.9,62.2,20.2,42.0,42.0,52.7,24.3,28.4,12.6,23.8,47.1,-23.3,,,,,,,,,,,,,
,D,14.7,74.5,-59.8,26.6,65.4,-38.8,18.5,63.5,19.4,44.1,42.2,52.6,24.7,27.9,12.0,23.5,47.0,-23.5,,,,,,,,,,,,,
1996,J,13.8,74.7,-60.9,24.4,67.7,-43.3,17.2,60.4,21.5,38.9,40.6,55.1,22.2,32.9,14.2,22.8,45.4,-22.6,,,,,,,,,,,,,
,F,14.4,74.7,-60.3,24.5,67.7,-43.2,18.3,58.5,23.5,35.0,38.2,57.0,21.1,35.9,14.9,24.1,44.6,-20.5,,,,,,,,,,,,,
,M,13.3,75.3,-62.0,25.2,67.1,-41.9,17.8,61.5,20.8,40.7,41.8,56.5,21.5,35.0,13.9,22.8,46.9,-24.1,,,,,,,,,,,,,
,A,14.0,73.6,-59.6,24.1,67.9,-43.8,17.2,62.6,21.1,41.5,42.1,58.1,21.0,37.1,13.8,23.0,46.5,-23.5,,,,,,,,,,,,,
,M,13.8,73.8,-60.0,24.2,68.3,-44.1,17.5,60.2,22.3,37.9,39.2,58.7,20.2,38.5,15.6,24.5,45.6,-21.1,,,,,,,,,,,,,
,J,15.0,72.2,-57.2,25.1,66.9,-41.8,18.9,59.6,22.6,37.0,38.4,56.7,22.1,34.6,14.7,25.3,45.4,-20.1,,,,,,,,,,,,,
,J,15.0,71.5,-56.5,26.1,65.7,-39.6,18.4,56.8,24.9,31.9,37.7,56.5,22.0,34.5,14.8,25.7,42.4,-16.7,,,,,,,,,,,,,
,A,16.3,71.1,-54.8,26.5,65.5,-39.0,19.4,53.4,28.5,24.9,36.1,54.8,22.8,32.0,14.6,26.4,42.2,-15.8,,,,,,,,,,,,,
,S,17.4,70.0,-52.6,27.8,64.3,-36.5,20.5,56.3,25.4,30.9,37.7,56.3,21.7,34.6,14.3,26.8,43.2,-16.4,,,,,,,,,,,,,
,O,16.8,69.0,-52.2,27.5,62.6,-35.1,20.5,59.4,22.4,37.0,37.9,57.5,19.6,37.9,14.2,25.6,43.5,-17.9,,,,,,,,,,,,,
