Year,Month,Fieldwork,,Published,,Polling,Publisher,Con,,Lab,,LD,,UKIP,,Green,,TIG/CUK,,BXP,,Con lead,,,,,Leader:,Con good,Con bad,Con net,Lab good,Lab bad,Lab net,LD good,LD bad,LD net,UKIP good,UKIP bad,UKIP net,Grn good,Grn bad,Grn net,CUK good,CUK bad,CUK net,BXP good,BXP bad,BXP net,Question,Con Best PM,Lab Best PM,LD Best PM,BXP Best PM,Question,Govt good,Govt bad,Govt net,Question,,,,,,,
,Nov,14-16,14/11/17,19,,Opinium,Ob,40.0,0.0,42.0,0.0,6.0,1.0,5.0,0.0,2.0,0.0,,,,,-2.0,0.0,Internet,,,,33.0,46.0,-13.0,36.0,39.0,-3.0,15.0,33.0,-18.0,8.0,38.0,-30.0,,,,,,,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,34.0,29.0,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,,,,
,Nov,14-17,14/11/17,,,BMG,Ind,40.0,3.0,41.0,-2.0,8.0,0.0,4.0,0.0,3.0,-1.0,,,,,-1.0,5.0,Internet,,,,35.0,52.0,-17.0,36.0,42.0,-6.0,,,,,,,,,,,,,,,,Are you satisfied or dissatisfied with the way X is doing his/her job as…,31.0,28.0,,,"If you had to choose between the two, who would you prefer to see as the next Prime Minister? ",,,,,,,,,,,
,Nov,14-20,14/11/17,21,,Kantar TNS,,42.0,,38.0,,9.0,,5.0,,3.0,,,,,,4.0,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,16-17,16/11/17,,,YouGov,Handelsblatt,,,,,,,,,,,,,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,55.0,-35.0,Do you approve or disapprove of the Government's record to date?,,,,,,,
,Nov,19-20,19/11/17,24,,YouGov,TT,40.0,0.0,43.0,0.0,7.0,1.0,3.0,-1.0,2.0,0.0,,,,,-3.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,22-23,22/11/17,,,YouGov,TT,39.0,-1.0,41.0,-2.0,7.0,0.0,4.0,1.0,3.0,1.0,,,,,-2.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,24-26,24/11/17,28,,ICM,Gu,41.0,0.0,41.0,0.0,7.0,0.0,5.0,1.0,3.0,1.0,,,,,0.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,24-28,24/11/17,1,,Ipsos MORI,ES,37.0,-1.0,39.0,-1.0,9.0,0.0,4.0,0.0,4.0,1.0,,,,,-2.0,0.0,Phone,,,,32.0,59.0,-27.0,42.0,49.0,-7.0,27.0,39.0,-12.0,,,,,,,,,,,,,Are you satisfied or dissatisfied with the way X is doing his/her job as…,,,,,,26.0,67.0,-41.0,Are you satisfied or dissatisfied with the way the Govt is running the country?,,,,,,,
,Nov,29-1,29/11/17,3,,ICM,SoS,40.0,-1.0,41.0,0.0,8.0,1.0,4.0,-1.0,3.0,0.0,,,,,-1.0,-1.0,Internet,,,,32.0,50.0,-18.0,41.0,38.0,3.0,19.0,31.0,-12.0,,,,,,,,,,,,,"From what you have seen or heard, do you think (title) X is doing a good job or a bad job?",40.0,32.0,,,"Putting aside which party you support, and only thinking about your impression of them as leaders, which one of the following do you think would make the best Prime Minister for Britain?",,,,,,,,,,,
,Nov,30-1,30/11/17,3,,Survation,MoS,37.0,-1.0,45.0,1.0,6.0,-1.0,4.0,0.0,1.0,0.0,,,,,-8.0,-2.0,Internet,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
